"brand","Series","PartNo","DetailLink","dataSheet","No of bits","VDD [min]","VDD [max]","Over volt tolerant","No of supplies","Standby current [typ]","Max Sink Current per bit","Max Sink Current, per package","Source Current per bit","Interrupt output pin","Reset input pin","Output mode","Input mode: invert option","Internal pull-up resistor per bit","I2C-bus","Footprint body and leads","Package name","Package version","Operating Temperature","No of Addresses","Remark"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555BS.html","http://www.nxp.com/documents/data_sheet/PCA9555.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","100","400","16.81","HVQFN24","SOT616-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555D.html","http://www.nxp.com/documents/data_sheet/PCA9555.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","100","400","166.14","SO24","SOT137-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555DB","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555DB.html","http://www.nxp.com/documents/data_sheet/PCA9555.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","100","400","66.36","SSOP24","SOT340-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555HF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555HF.html","http://www.nxp.com/documents/data_sheet/PCA9555.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","100","400","16.81","HWQFN24","SOT994-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555PW.html","http://www.nxp.com/documents/data_sheet/PCA9555.pdf","16","2.3","5.5","Y","1","0.25","25","200","10","Y","","Totem pole","Y","100","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555AHF","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555AHF.html","http://www.nxp.com/documents/data_sheet/PCA9555A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","","Totem pole","Y","100","400","16.81","HWQFN24","SOT994-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9555APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9555APW.html","http://www.nxp.com/documents/data_sheet/PCA9555A.pdf","16","1.65","5.5","Y","1","0.5","25","200","10","Y","","Totem pole","Y","100","400","52.14","TSSOP24","SOT355-1","-40~85","8",""
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9557BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9557BS.html","http://www.nxp.com/documents/data_sheet/PCA9557.pdf","8","2.3","5.5","Y","1","0.25","25","100","20","","Y","Totem Pole/Open Drain","Y","","400","16.81","HVQFN16","SOT629-1","-40~85","8","Only bit 0 is open drain"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9557D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9557D.html","http://www.nxp.com/documents/data_sheet/PCA9557.pdf","8","2.3","5.5","Y","1","0.25","25","100","20","","Y","Totem Pole/Open Drain","Y","","400","56.84","SO16","SOT109-1","-40~85","8","Only bit 0 is open drain"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9557PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9557PW.html","http://www.nxp.com/documents/data_sheet/PCA9557.pdf","8","2.3","5.5","Y","1","0.25","25","100","20","","Y","Totem Pole/Open Drain","Y","","400","33.66","TSSOP16","SOT403-1","-40~85","8","Only bit 0 is open drain"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9558PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9558PW.html","http://www.nxp.com/documents/data_sheet/PCA9558.pdf","8","3","3.6","Y","1","","4","32","","","","Open drain","","Int I source","400","64.68","TSSOP28","SOT361-1","0~70","2","EEPROM 2K byte, DIP switch"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9570DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9570DP.html","http://www.nxp.com/documents/data_sheet/PCA9570.pdf","4","1.1","3.6","","1","0.6","4","16","4","","","Totem pole","","","1000","15.81","","","-40~85","1","Output only"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9570GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9570GM.html","http://www.nxp.com/documents/data_sheet/PCA9570.pdf","4","1.1","3.6","","1","0.6","4","16","4","","","Totem pole","","","1000","2.72","XQFN8","SOT902-2","-40~85","1","Output only"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9570GM4","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9570GM4.html","http://www.nxp.com/documents/data_sheet/PCA9570.pdf","4","1.1","3.6","","1","0.6","4","16","4","","","Totem pole","","","1000","1.81","","","-40~85","1","Output only"
"nxp","Interface and connectivity---I²C---I²C general purpose I/O","PCA9571GU","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_general_purpose_i_o/PCA9571GU.html","http://www.nxp.com/documents/data_sheet/PCA9571.pdf","","","","","","","","","","","","","","","","","XQFN12","SOT1174-1","","",""
