"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G79GX","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G79GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G79.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G80GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G80GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G80.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G80GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G80GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G80.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G80GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G80GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G80.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G80GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G80GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G80.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G80GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G80GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G80.pdf","Production","AUP","positive-edge trigger; single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G175GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G175GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G175.pdf","Production","AUP","positive-edge trigger; single D flip-flop with reset","1.1 - 3.6","CMOS","+/- 1.9","7.4","70","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G175GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G175GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G175.pdf","Production","AUP","positive-edge trigger; single D flip-flop with reset","1.1 - 3.6","CMOS","+/- 1.9","7.4","70","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G175GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G175GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G175.pdf","Production","AUP","positive-edge trigger; single D flip-flop with reset","1.1 - 3.6","CMOS","+/- 1.9","7.4","70","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G175GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G175GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G175.pdf","Production","AUP","positive-edge trigger; single D flip-flop with reset","1.1 - 3.6","CMOS","+/- 1.9","7.4","70","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G175GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G175GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G175.pdf","Production","AUP","positive-edge trigger; single D flip-flop with reset","1.1 - 3.6","CMOS","+/- 1.9","7.4","70","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G374GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G374GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G374.pdf","Production","AUP","positive-edge trigger (3-state); single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","7.9","400","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G374GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G374GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G374.pdf","Production","AUP","positive-edge trigger (3-state); single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","7.9","400","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G374GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G374GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G374.pdf","Production","AUP","positive-edge trigger (3-state); single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","7.9","400","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G374GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G374GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G374.pdf","Production","AUP","positive-edge trigger (3-state); single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","7.9","400","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP1G374GW","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP1G374GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G374.pdf","Production","AUP","positive-edge trigger (3-state); single D-type flip-flop","1.1 - 3.6","CMOS","+/- 1.9","7.9","400","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79DC","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GD","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G79GT","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G79GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G79.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","8.5","400","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80DC","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GD","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GF","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GM","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GN","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GS","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Flip-flops---D-type flip-flops","74AUP2G80GT","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AUP2G80GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G80.pdf","Production","AUP","dual D-type flip-flop; positive-edge trigger","1.1 - 3.6","CMOS","+/- 1.9","9.1","400","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Flip-flops---D-type flip-flops","74AVC16374DGG","http://www.nxp.com/products/logic/flip_flops/d_type_flip_flops/74AVC16374DGG.html","http://www.nxp.com/documents/data_sheet/74AVC16374.pdf","Production","AVC(M)","16-bit D-type flip-flop; positive-edge trigger (3-state)","1.2 - 3.6","CMOS","+/- 12","1.5","350","low","-40~85","82","2.0","37","48","TSSOP48","SOT362-1"
