"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","频率 (Min) (MHz) ","频率 (Max) (MHz) ","供电电压 (Typ) (V) ","P1dB (Typ) (dBm) ","P1dB (Typ) (W) ","输出功率 (Typ) (W)  @ Intermodulation Level at Test Signal","测试信号","功率增益 (Typ) (dB)  @ f (MHz)","效率 (Typ) (%) ","热阻 (Spec)(&#176;C/W)","匹配","类型","模具技术","PLC代码","预算报价（不含税）(CNY)","封装类型和焊端数","Pin count","PLC描述","P3dB (Typ) (W) ","频率 (Min-Max) (MHz) ","无铅","认证级别","RoHS","应用","输出功率 (Typ) (W) (P1dB)","增益 (Typ) (dB) ","互调失真 - IMD (Typ) (dBc) ","互调失真 - IM3 (Typ) (dBc) ","宽带效率 (Typ) (%) ","宽带频率 (Min-Max) (MHz) (f)","替代部件"
"FSL","射频---射频移动通信基础架构","MRFE6S9125N","MRFE6S9125NBR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9125N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-27-w-avg.-28-v-n-cdma-gsm-edge-rf-power-ldmos-transistors:MRFE6S9125N?&fpsp=1&tab=Documentation_Tab#MRFE6S9125NBR1","Single N-CDMA, GSM EDGE Lateral N-Channel RF Power MOSFET, 800 MHz, 27 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9125NBR1');trackRFAnalytics('MRFE6S9125NBR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","51","125","27 @ AVG","N-CDMA","20.2 @ 880","31","0.45","Input","AB","LDMOS","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRFE6S9125N","MRFE6S9125NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9125N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-27-w-avg.-28-v-n-cdma-gsm-edge-rf-power-ldmos-transistors:MRFE6S9125N?&fpsp=1&tab=Documentation_Tab#MRFE6S9125NR1","Single N-CDMA, GSM EDGE Lateral N-Channel RF Power MOSFET, 800 MHz, 27 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9125NR1');trackRFAnalytics('MRFE6S9125NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","51","125","27 @ AVG","N-CDMA","20.2 @ 880","31","0.45","Input","AB","LDMOS","4","-","High Pwr RF SMT 5","5","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9260H","MRF8S9260HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9260H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-75-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8S9260H?&fpsp=1&tab=Documentation_Tab#MRF8S9260HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 75 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9260HSR3');trackRFAnalytics('MRF8S9260HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","54.1","260","75 @ AVG","W-CDMA","18.6 @ 960","38.5","0.37","I/O","AB","LDMOS","4","-","Air Cavity 2","2","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRFE6S9060NR1","MRFE6S9060NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9060NR1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/470-960-mhz-14-w-avg.-28-v-broadband-rf-power-ldmos-transistor:MRFE6S9060NR1?&fpsp=1&tab=Documentation_Tab#MRFE6S9060NR1","Single N-CDMA Lateral N-Channel Broadband RF Power MOSFET, 880 MHz, 14 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9060NR1');trackRFAnalytics('MRFE6S9060NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","470","960","28","47.8","60","14 @ AVG","N-CDMA","21.1 @ 880","33","0.88","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","470 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","55","450 to 1100","-"
"FSL","射频---射频移动通信基础架构","MRF8S9232N","MRF8S9232NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9232N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-63-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9232N?&fpsp=1&tab=Documentation_Tab#MRF8S9232NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 865-960 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9232NR3');trackRFAnalytics('MRF8S9232NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","53.6","230","63 @ AVG","W-CDMA","18.1 @ 960","36.3","0.27","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9220H","MRF8S9220HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9220H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-65-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8S9220H?&fpsp=1&tab=Documentation_Tab#MRF8S9220HSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 65 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9220HSR3');trackRFAnalytics('MRF8S9220HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","53.4","220","65 @ AVG","W-CDMA","19.4 @ 960","35.7","0.39","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9200N","MRF8S9200NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9200N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-58-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9200N?&fpsp=1&tab=Documentation_Tab#MRF8S9200NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 58 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9200NR3');trackRFAnalytics('MRF8S9200NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","53","200","58 @ AVG","W-CDMA","19.9 @ 940","37.1","0.3","I/O","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","37.1","650 to 1000","-"
"FSL","射频---射频移动通信基础架构","MRF8S9170N","MRF8S9170NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9170N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-50-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9170N?&fpsp=1&tab=Documentation_Tab#MRF8S9170NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9170NR3');trackRFAnalytics('MRF8S9170NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","52.5","177","50 @ AVG","W-CDMA","19.3 @ 920","36.5","0.38","I/O","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRFE6S9045NR1","MRFE6S9045NR1","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRFE6S9045NR1&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-10-w-avg.-28-v-broadband-rf-power-ldmos-transistor:MRFE6S9045NR1?&fpsp=1&tab=Documentation_Tab#MRFE6S9045NR1","Single N-CDMA Lateral N-Channel Broadband RF Power MOSFET, 880 MHz, 10 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRFE6S9045NR1');trackRFAnalytics('MRFE6S9045NR1','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","46.5","45","10 @ AVG","N-CDMA","22.1 @ 880","32","1.1","Unmatched","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","60","450 to 1000","-"
"FSL","射频---射频移动通信基础架构","MRF8S9120N","MRF8S9120NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9120N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-33-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9120N?&fpsp=1&tab=Documentation_Tab#MRF8S9120NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 865-960 MHz, 33 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9120NR3');trackRFAnalytics('MRF8S9120NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","50.8","120","33 @ AVG","W-CDMA","19.8 @ 960","34.2","0.62","I/O","AB","LDMOS","3","-","High Pwr RF SMT 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9202N","MRF8S9202GNR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9202N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-58-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9202N?&fpsp=1&tab=Documentation_Tab#MRF8S9202GNR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 920-960 MHz, 58 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9202GNR3');trackRFAnalytics('MRF8S9202GNR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","53","200","58 @ AVG","W-CDMA","19 @ 920","36.3","0.31","I/O","AB","LDMOS","3","-","High Pwr RF SMT 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9100H","MRF8S9100HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9100H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-72-w-cw-28-v-gsm-gsm-edge-lateral-n-channel-rf-power-mosfets:MRF8S9100H?&fpsp=1&tab=Documentation_Tab#MRF8S9100HSR3","GSM, GSM EDGE Lateral N-Channel RF Power MOSFET, 920-960 MHz, 72 W CW, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9100HSR3');trackRFAnalytics('MRF8S9100HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","50.3","108","72 @ CW","1-Tone","19.3 @ 920","51.6","0.65","Input","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S9102N","MRF8S9102NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S9102N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/865-960-mhz-28-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S9102N?&fpsp=1&tab=Documentation_Tab#MRF8S9102NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 865-960 MHz, 28 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S9102NR3');trackRFAnalytics('MRF8S9102NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","865","960","28","50","100","28 @ AVG","W-CDMA","23.1 @ 920","36.4","0.63","I/O","AB","LDMOS","3","-","High Pwr RF SMT 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","-","865 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S7235N","MRF8S7235NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S7235N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-768-mhz-63-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S7235N?&fpsp=1&tab=Documentation_Tab#MRF8S7235NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 728-768 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S7235NR3');trackRFAnalytics('MRF8S7235NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","728","768","28","54.1","260","63 @ AVG","W-CDMA","20 @ 728","36.1","0.33","I/O","AB","LDMOS","2","-","High Pwr RF SMT 3","3","PRODUCT RAPID GROWTH(2)","-","728 to 768","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S7170N","MRF8S7170NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S7170N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/618-803-mhz-50-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S7170N?&fpsp=1&tab=Documentation_Tab#MRF8S7170NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 728-768 MHz, 50 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S7170NR3');trackRFAnalytics('MRF8S7170NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","618","803","28","52.6","182","50 @ AVG","W-CDMA","19.5 @ 748","37","0.37","I/O","AB","LDMOS","4","-","High Pwr RF SMT 3","3","PRODUCT MATURITY/SATURATION(4)","-","618 to 803","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S21200H","MRF8S21200HSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S21200H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-48-w-avg.-28-v-w-cdma-lte-lateral-n-channel-rf-power-mosfets:MRF8S21200H?&fpsp=1&tab=Documentation_Tab#MRF8S21200HSR6","W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 48 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S21200HSR6');trackRFAnalytics('MRF8S21200HSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","52.5","178","48 @ AVG","W-CDMA","18.1 @ 2140","32.6","0.31","I/O","AB","LDMOS","4","-","Air Cavity 5","5","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S7120N","MRF8S7120NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S7120N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/728-768-mhz-32-w-avg.-28-v-single-w-cdma-lateral-n-channel-rf-power-mosfet:MRF8S7120N?&fpsp=1&tab=Documentation_Tab#MRF8S7120NR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 728-768 MHz, 32 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S7120NR3');trackRFAnalytics('MRF8S7120NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","728","768","28","51","125","32 @ AVG","W-CDMA","19.2 @ 768","38.1","0.65","I/O","AB","LDMOS","3","-","High Pwr RF SMT 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","-","728 to 768","-","10-YEARS APPLICATION LIFE","-","W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S21100H","MRF8S21100HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S21100H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-24-w-avg.-28-v-w-cdma-lte-rf-power-ldmos-transistors:MRF8S21100H?&fpsp=1&tab=Documentation_Tab#MRF8S21100HSR3","Single W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 24 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S21100HSR3');trackRFAnalytics('MRF8S21100HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50","100","24 @ AVG","W-CDMA","18.3 @ 2170","33.4","0.48","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S18260H","MRF8S18260HSR6","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S18260H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-74-w-avg.-30-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8S18260H?&fpsp=1&tab=Documentation_Tab#MRF8S18260HSR6","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1805-1880 MHz, 74 W Avg., 30 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S18260HSR6');trackRFAnalytics('MRF8S18260HSR6','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","30","54.1","260","74 @ AVG","W-CDMA","17.9 @ 1805","31.6","0.27","I/O","AB","LDMOS","3","-","Air Cavity 9","9","PRODUCT STABLE GROWTH/MATURITY(3)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S18210WHS","MRF8S18210WGHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S18210WHS&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-50-w-avg.-30-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8S18210WHS?&fpsp=1&tab=Documentation_Tab#MRF8S18210WGHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1805 MHz - 1995 MHz, 50 W Avg., 30 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S18210WGHSR3');trackRFAnalytics('MRF8S18210WGHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","30","53.2","210","50 @ AVG","W-CDMA","17.8 @ 1930","29.2","0.48","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S18210WHS","MRF8S18210WHSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S18210WHS&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1995-mhz-50-w-avg.-30-v-single-w-cdma-lateral-n-channel-rf-power-mosfets:MRF8S18210WHS?&fpsp=1&tab=Documentation_Tab#MRF8S18210WHSR3","Single W-CDMA Lateral N-Channel RF Power MOSFET, 1805 MHz - 1995 MHz, 50 W Avg., 30 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S18210WHSR3');trackRFAnalytics('MRF8S18210WHSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1995","30","53.2","210","50 @ AVG","W-CDMA","17.8 @ 1930","29.2","0.48","I/O","AB","LDMOS","2","-","Air Cavity 3","3","PRODUCT RAPID GROWTH(2)","-","1805 to 1995","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S18120H","MRF8S18120HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S18120H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/1805-1880-mhz-72-w-cw-28-v-gsm-gsm-edge-lateral-n-channel-rf-power-mosfets:MRF8S18120H?&fpsp=1&tab=Documentation_Tab#MRF8S18120HSR3","GSM, GSM EDGE Lateral N-Channel RF Power MOSFET, 1805-1880 MHz, 72 W CW, 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S18120HSR3');trackRFAnalytics('MRF8S18120HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","1805","1880","28","50.8","120","72 @ CW","1-Tone","18.2 @ 1805","49.8","0.47","I/O","AB","LDMOS","4","-","Air Cavity 3","3","PRODUCT MATURITY/SATURATION(4)","-","1805 to 1880","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8S21120H","MRF8S21120HSR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8S21120H&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/1450-2200-mhz/2110-2170-mhz-28-w-avg.-28-v-w-cdma-lte-lateral-n-channel-rf-power-mosfets:MRF8S21120H?&fpsp=1&tab=Documentation_Tab#MRF8S21120HSR3","W-CDMA, LTE Lateral N-Channel RF Power MOSFET, 2110-2170 MHz, 28 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8S21120HSR3');trackRFAnalytics('MRF8S21120HSR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","2110","2170","28","50.3","107","28 @ AVG","W-CDMA","17.6 @ 2170","34","0.53","I/O","AB","LDMOS","3","-","Air Cavity 3","3","PRODUCT STABLE GROWTH/MATURITY(3)","-","2110 to 2170","-","10-YEARS APPLICATION LIFE","-","LTE, W-CDMA","-","-","-","-","-","-","-"
"FSL","射频---射频移动通信基础架构","MRF8P9210N","MRF8P9210NR3","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MRF8P9210N&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/rf/rf-cellular-infrastructure/450-1000-mhz/920-960-mhz-63-w-avg.-28-v-single-w-cdma-rf-power-ldmos-transistor:MRF8P9210N?&fpsp=1&tab=Documentation_Tab#MRF8P9210NR3","Single W-CDMA RF Power LDMOS Transistor, 920-960 MHz, 63 W Avg., 28 V","<a target="_blank" id="OPNsuggestedDriver" style="cursor:pointer"  onclick="showpopup('MRF8P9210NR3');trackRFAnalytics('MRF8P9210NR3','opn');"><center><br><img class="img-sugg-driver" src="/shared/images/suggestedDriver.png"></img></br></center></a>","920","960","28","52.9","193","63 @ AVG","W-CDMA","16.7 @ 960","47.4","0.53","I/O","AB, C","LDMOS","2","-","High Pwr RF SMT 5","5","PRODUCT RAPID GROWTH(2)","290","920 to 960","-","10-YEARS APPLICATION LIFE","-","-","-","-","-","-","-","-","-"
