"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","替代部件","器件功能","预算报价（不含税）(CNY)","SafeAssure 功能安全","封装类型和焊端数","工作环境温度 (Min-Max) (°C) ","其他特性-模拟","CAN Type","通信协议","负载供电电压 (Min) (V) ","负载供电电压 (Max) (V) ","供电电压 (Min-Max) (V) ","RoHS","接口和输入控制","PLC代码","Pin count","PLC描述","诊断","Sleep Current (Max) (mA) ","认证级别","保护","通道数","每路输出电流限值 (Min) (A) (ILIM)","无铅","负载电流 (Typ) (A) (IL)","漏源导通电阻 (Typ) (mOhm) (RDS(ON))","其他特性 - 电源管理","线性/LDO稳压器数量","开关升压稳压器数量","开关降压稳压器数量","输出电压","输出电流 (A) ","开关监控电压 (Min-Max) (V) (VSENSE)","负载电流 (Max) (A) (IL)","PWM Frquency (Hz) ","内核：内核数量 (Spec)","内部RAM (KB) ","数据传输速率 (Spec) (kbps) ","数据传输速率 (Max) (kbps) ","数据传输速率 (Min) (kbps) ","工作频率 (Max) (MHz) ","内核：类型","内部闪存 (KB) ","内核：工作电压 (Spec) (V) ","ADC (ch)","PWM (bit)","ADC (bit)","PWM (ch)","定时器特性","定时器","PWM","ADC","MCU内部用户闪存 (Spec) (kByte) "
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912H634DM1AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912H634DM1AER2","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 64KB Flash, LIN,  QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, High Side Switch, Low Side Switch, System Basis Chip","1000 @ CNY12.78 each","-","LQFP-EP 48","-40 to 125","Watchdog Timer, Wake, Stop Mode, PWM Capable, A/D Converter and Digital I/O","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage, Overvoltage, Overtemperature","2, 2","0.11, 0.28","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","6","-","100","20","20","HCS12","64","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912H634DV1AE","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912H634DV1AE","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 64KB Flash, LIN,  QFP-EP 48, Tray","-","-","Comm Transceivers, Embedded MCU plus Power, System Basis Chip","1000 @ CNY10.05 each","-","LQFP-EP 48","-40 to 105","-","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Overvoltage, Undervoltage","2, 2","0.11, 0.28","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","6","-","100","20","20","HCS12","64","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_634","MM912H634DV1AER2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_634&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/integrated-hcs12-based-relay-driver-microcontrollers-mcus-with-lin:MM912_634?&fpsp=1&tab=Documentation_Tab#MM912H634DV1AER2","MagniV S12 Relay Driver, 2x HS/ LS, I-sense, 16-bit MCU, 6KB RAM, 64KB Flash, LIN,  QFP-EP 48, Reel","-","-","Comm Transceivers, Embedded MCU plus Power, System Basis Chip","1000 @ CNY10.05 each","-","LQFP-EP 48","-40 to 105","-","-","LIN","5.5","27","5.5 to 27","-","-","3","48","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Overvoltage, Undervoltage","2, 2","0.11, 0.28","-","0.05, 0.15","7000, 2500","-","-","-","-","-","-","-","-","-","-","6","-","100","20","20","HCS12","64","1.8","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_S812","MM912JS812AMAF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_S812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xs-mcu-plus-ignition-and-injector-driver-sip:MM912_S812?&fpsp=1&tab=Documentation_Tab#MM912JS812AMAF","16-Bit MCU, S12XS 128K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Tray","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY23.59 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","-","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","8","-","1000","10","40","HCS12","128","5","-","-","-","-","PWM, TPU, Watchdog","8-ch. 16 bit","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_S812","MM912JS812AMAFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_S812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xs-mcu-plus-ignition-and-injector-driver-sip:MM912_S812?&fpsp=1&tab=Documentation_Tab#MM912JS812AMAFR2","16-Bit MCU, S12XS 128K, MC33812, Ignition, Injector, Driver System In Package (SiP) , QFP 100, Reel","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY23.59 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","-","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","3","100","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","8","-","1000","10","40","HCS12","128","5","-","-","-","-","PWM, TPU, Watchdog","8-ch. 16 bit","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_S812","MM912KS812AMAF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_S812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xs-mcu-plus-ignition-and-injector-driver-sip:MM912_S812?&fpsp=1&tab=Documentation_Tab#MM912KS812AMAF","16-Bit MCU, S12XS 256K, MC33812, Ignition, Injector, Driver System In Package (SiP), QFP 100, Tray","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY25.94 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","-","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","2","100","PRODUCT RAPID GROWTH(2)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","12","-","1000","10","40","HCS12","256","5","-","-","-","-","PWM, TPU, Watchdog","8-ch. 16 bit","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM912_S812","MM912KS812AMAFR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM912_S812&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/16-bit-mcus/hcs12-s12x/s12xs-mcu-plus-ignition-and-injector-driver-sip:MM912_S812?&fpsp=1&tab=Documentation_Tab#MM912KS812AMAFR2","16-Bit MCU, S12XS 256K, MC33812, Ignition, Injector, Driver System In Package (SiP), QFP 100, Reel","-","-","Embedded MCU plus Power, Powertrain Control","1000 @ CNY25.94 each","-","LQFP-EP 100","-40 to 125","Watchdog Timer, PWM Capable, Output Open/Short Diagnostic, Output Current Limiting, Diagnostics Reporting, A/D Converter and Digital I/O","-","CAN, ISO 9141","4.7","36","4.7 to 36","-","SPI","2","100","PRODUCT RAPID GROWTH(2)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Output Current, Bus Short Circuit to Battery","1, 2","1.5, 4","-","-","1000, 250","-","-","-","-","-","-","-","2.5, 6","-","1","12","-","1000","10","40","HCS12","256","5","-","-","-","-","PWM, TPU, Watchdog","8-ch. 16 bit","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17C724","MPC17C724EP","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17C724&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/h-bridge-motor-driver-2.7-5.5v-0.8a-200khz:MPC17C724?&fpsp=1&tab=Documentation_Tab#MPC17C724EP","H-Bridge, Dual, Low Voltage, Stepper & DC Brushed Motor Driver, 2.7-5.5V, 0.8A, 200kHz, QFN 16, Tray","-","-","Dual H-Bridge","1000 @ CNY2.92 each","-","QFN-EP 16","-20 to 85","Low RDSon, Smaller QFN Package, PWM Capable","-","-","2.7","5.5","2.7 to 5.5","-","Parallel","3","16","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","0.8","-","0.4","1000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MPC17C724","MPC17C724EPR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MPC17C724&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/h-bridge-motor-driver-2.7-5.5v-0.8a-200khz:MPC17C724?&fpsp=1&tab=Documentation_Tab#MPC17C724EPR2","H-Bridge, Dual, Low Voltage, Stepper & DC Brushed Motor Driver, 2.7-5.5V, 0.8A, 200kHz, QFN 16, Reel","-","-","Dual H-Bridge","1000 @ CNY2.92 each","-","QFN-EP 16","-20 to 85","Low RDSon, PWM Capable, Smaller QFN Package","-","-","2.7","5.5","2.7 to 5.5","-","Parallel","3","16","PRODUCT STABLE GROWTH/MATURITY(3)","None","-","5-YEARS APPLICATION LIFE","Shoot Through, Undervoltage Detection","2","0.8","-","0.4","1000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E626","MM908E626AVPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","H-Bridge and Config Switches, H-Bridge Stepper, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.13 each","-","SOIC-EP 54","-40 to 115","PWM Capable, Internal Charge Pump","-","LIN","8","18","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","160","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E626","MM908E626AVPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E626&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-stepper-lin-phy:MM908E626?&fpsp=1&tab=Documentation_Tab#MM908E626AVPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","Network Transceivers, H-Bridge Stepper, H-Bridge and Config Switches, Embedded MCU plus Power","1000 @ CNY26.13 each","-","SOIC-EP 54","-40 to 115","PWM Capable, Internal Charge Pump","-","LIN","8","18","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","160","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E624","MM908E624ACPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","-","SOIC 54","-40 to 85","PWM Capable, Output Current Limiting, Internal Charge Pump","-","LIN","8","18","9 to 16","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E624","MM908E624ACPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624ACPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Reel","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY21.17 each","-","SOIC 54","-40 to 85","PWM Capable, Output Current Limiting, Internal Charge Pump","-","LIN","8","18","9 to 16","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E624","MM908E624AYPEW","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEW","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54, Rail","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","-","SOIC 54","-40 to 125","PWM Capable, Output Current Limiting, Internal Charge Pump","-","LIN","8","18","9 to 16","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E624","MM908E624AYPEWR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E624&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-hss-relay-drivers-lin:MM908E624?&fpsp=1&tab=Documentation_Tab#MM908E624AYPEWR2","Relay driver, 3x HSS, I-sense, VREG, 8-bit MCU, 512B RAM, 16KB Flash, LIN, SOICW 54 , Reel","-","-","High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY22.64 each","-","SOIC 54","-40 to 125","PWM Capable, Output Current Limiting, Internal Charge Pump","-","LIN","8","18","9 to 16","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Undervoltage Detection, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E622","MM908E622ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEK","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Rail","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","-","SOIC-EP 54","-40 to 85","PWM Capable, Internal Charge Pump","-","LIN","7.5","20","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E622","MM908E622ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E622&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-vreg-h-b-ec-glass-driver-lin-phy:MM908E622?&fpsp=1&tab=Documentation_Tab#MM908E622ACPEKR2","Integrated motor driver; 4x H-B, 3x HSS,  EC drive, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Reel","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY30.33 each","-","SOIC-EP 54","-40 to 85","PWM Capable, Internal Charge Pump","-","LIN","7.5","20","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E621","MM908E621ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E621&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-h-b-hss-lin-phy:MM908E621?&fpsp=1&tab=Documentation_Tab#MM908E621ACPEK","Integrated motor driver; 4x H-B, 3x HSS, VREG, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Rail","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.20 each","-","SOIC-EP 54","-40 to 85","PWM Capable, Internal Charge Pump","-","LIN","7.5","20","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E621","MM908E621ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E621&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-h-b-hss-lin-phy:MM908E621?&fpsp=1&tab=Documentation_Tab#MM908E621ACPEKR2","Integrated motor driver; 4x H-B, 3x HSS, VREG, 8-bit MCU, 16KB  Flash, LIN, SOIC-EP 54, Reel","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY26.20 each","-","SOIC-EP 54","-40 to 85","PWM Capable, Internal Charge Pump","-","LIN","7.5","20","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","100","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MC34937","MC34937APEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34937&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/three-phase-field-effect-transistor-pre-driver:MC34937?&fpsp=1&tab=Documentation_Tab#MC34937APEK","Motor driver, 3 Phase FET pre-driver, >1.5A gate drive, FET  protection, 58V, SPI, SOIC-EP 54, Rail","-","-","3 Phase, Pre-Driver, Gate Driver","1000 @ CNY14.24 each","-","SOIC-EP 54","-40 to 125","Internal Charge Pump","-","-","8","40","8 to 40","-","Parallel, SPI","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","10-YEARS APPLICATION LIFE","Output Short to Ground, Overcurrent, Overtemperature","3","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MC34937","MC34937APEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC34937&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/analog-power-management/engine-and-dc-motor-control/h-bridges/three-phase-field-effect-transistor-pre-driver:MC34937?&fpsp=1&tab=Documentation_Tab#MC34937APEKR2","Motor driver, 3 Phase FET pre-driver, >1.5A gate drive, FET  protection, 58V, SPI, SOIC-EP 54, Reel","-","-","3 Phase, Pre-Driver, Gate Driver","1000 @ CNY14.24 each","-","SOIC-EP 54","-40 to 125","Internal Charge Pump","-","-","8","40","8 to 40","-","Parallel, SPI","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","10-YEARS APPLICATION LIFE","Output Short to Ground, Overcurrent, Overtemperature","3","1","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E625","MM908E625ACPEK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEK","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Rail","-","-","H-Bridge and Config Switches, High Side Switch, Network Transceivers, Embedded MCU plus Power","1000 @ CNY25.75 each","-","SOIC-EP 54","-40 to 85","PWM Capable, Internal Charge Pump, Hall Effect Sensor Inputs","-","LIN","8","18","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Undervoltage Detection, Overvoltage, Cross-Conduction Suppression, Short Circuit, Overcurrent, Overtemperature","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","160","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
"FSL","模拟与电源管理---发动机和DC电机控制","MM908E625","MM908E625ACPEKR2","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MM908E625&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/8-bit-mcus/8-bit-intelligent-distributed-controllers/8-bit-mcu-with-integrated-vreg-configurable-h-b-lin:MM908E625?&fpsp=1&tab=Documentation_Tab#MM908E625ACPEKR2","Stepper motor driver, 4x H-B, 1 HSS, 3x Hall input,  8-bit MCU, 16KB Flash , LIN,SOIC-EP 54, Reel","-","-","Embedded MCU plus Power, H-Bridge and Config Switches, High Side Switch, Network Transceivers","1000 @ CNY25.75 each","-","SOIC-EP 54","-40 to 85","Hall Effect Sensor Inputs, Internal Charge Pump, PWM Capable","-","LIN","8","18","5 to 28","-","-","3","54","PRODUCT STABLE GROWTH/MATURITY(3)","SPI","-","AUTO; >=10 YEARS APPLICATION LIFE","Short Circuit, Overvoltage, Undervoltage Detection, Cross-Conduction Suppression, Overtemperature, Overcurrent","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1","0.5","160","20","10","8","HC08","16","5","-","-","-","-","-","-","-","-","-"
