"brand","Series","Series-2","PartNo","DetailLink","Document","Description","Suggested Drivers","封装类型和焊端数","内部闪存 (KB) ","内部RAM (KB) ","工作频率 (Max) (MHz) ","DMA通道总数","PWM","ADC","I2C","PWM分辨率 (ps) ","QSCI","CAN","ADC (ch)","PWM (bit)","SCI","ADC (bit)","PWM (ch)","PLC代码","预算报价（不含税）(CNY)","Pin count","PLC描述","其他特性","SPI","定时器特性","定时器","Debug &amp; Trace","GPIOs","内核：性能(MIPS)","LIN","工作环境温度 (Min-Max) (°C) ","无铅","供电电压 (Min-Max) (V) ","认证级别","RoHS","内核：工作电压 (Spec) (V) ","DAC (bit)","QSPI","CAN Type","定时器类型","DAC (ch)","独立的PWM模块","ADC转换时间 (ns) ","模拟比较器","内核：类型","独立ADC模块","FlexMemory (kB) ","EEPROM (KB) ","内核：内核数量 (Spec)","L2缓存 (Max) (KB) ","UART","支持外部存储器","缓存 (KB) ","外部总线接口","Ethernet Type","TDM"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8006MLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8006MLC","16-bit DSC, 56800E core, 16KB Flash, 32MHz, QFP 32","-","LQFP 32","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY10.75 each","32","PRODUCT STABLE GROWTH/MATURITY(3)","PGA, Watchdog OSC/Timer, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP","1","Input Capture, PWM, PDB","2-ch. 16 bit","JTAG, On-Chip Emulation","13","32","1","-40 to 125","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8006VLC","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8006VLC","16-bit DSC, 56800E core, 16KB Flash, 32MHz, QFP 32","-","LQFP 32","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY10.24 each","32","PRODUCT STABLE GROWTH/MATURITY(3)","Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP, PGA","1","Input Capture, PWM, PDB","2-ch. 16 bit","JTAG, On-Chip Emulation","13","32","1","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8006VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8006VLF","16-bit DSC, 56800E core, 16KB Flash, 32MHz, QFP 48","-","LQFP 48","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY10.81 each","48","PRODUCT STABLE GROWTH/MATURITY(3)","Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP, PGA","1","Input Capture, PWM, PDB","2-ch. 16 bit","JTAG, On-Chip Emulation","26","32","1","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8006VWL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8006VWL","16-bit DSC, 56800E core, 16KB Flash, 32MHz, SOIC 28","-","SOIC 28","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY9.92 each","28","PRODUCT STABLE GROWTH/MATURITY(3)","Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP, PGA","1","Input Capture, PWM, PDB","2-ch. 16 bit","JTAG, On-Chip Emulation","13","32","1","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","MC56F8006VWLR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#MC56F8006VWLR","16-bit DSC, 56800E core, 16KB Flash, 32MHz, SOIC 28","-","SOIC 28","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","3","10000 @ CNY10.24 each","28","PRODUCT STABLE GROWTH/MATURITY(3)","PGA, Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP","1","PDB, PWM, Input Capture","2-ch. 16 bit","JTAG, On-Chip Emulation","13","32","1","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F800x","PC56F8006VWL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F800x&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f80xx/mc56f8006-and-mcf56f8002-digital-signal-controllers:MC56F800x?&fpsp=1&tab=Documentation_Tab#PC56F8006VWL","16 BIT DSPHC ANGUILLA WHITE","-","SOIC 28","16","2","32","-","-","-","1","-","-","-","36","-","1","12","-","1","-","28","PRODUCT NEWLY INTRO D/RAMP-UP(1)","PGA, Watchdog OSC/Timer, POR, PLL, Low Voltage Detect, Internal Voltage Regulator, Internal Clock Generator, COP","1","PDB, PWM, Input Capture","2-ch. 16 bit","JTAG, On-Chip Emulation","13","-","1","-40 to 105","-","-","-","-","1.8","-","-","-","Periodic Interrupt Timer, Real Time Clock","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","DSP56F805","DSP56F805FV80E","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=DSP56F805&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/dsp56f80x/digital-signal-controller:DSP56F805?&fpsp=1&tab=Documentation_Tab#DSP56F805FV80E","16-bit DSC, 56800 core, 64KB Flash, 80MHz, QFP 144","-","LQFP 144","64","4","80","-","-","8-ch. 12-bit","-","-","-","1","8","-","2","12","-","4","10000 @ CNY65.05 each","144","PRODUCT MATURITY/SATURATION(4)","Low Voltage Detect, Quad Decoder","1","PWM, Watchdog","-","On-Chip Emulation","32","40","-","-","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","DSP56F807","DSP56F807PY80E","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=DSP56F807&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/dsp56f80x/digital-signal-controller:DSP56F807?&fpsp=1&tab=Documentation_Tab#DSP56F807PY80E","16-bit DSC, 56800 core, 128KB Flash, 80MHz, QFP 160","-","LQFP 160","128","4","80","-","-","16-ch. 12-bit","-","-","-","1","16","-","2","12","-","4","10000 @ CNY70.33 each","160","PRODUCT MATURITY/SATURATION(4)","Low Voltage Detect, Quad Decoder","1","PWM, Watchdog","-","On-Chip Emulation","32","40","-","-","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","DSP56F807","DSP56F807VF80","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=DSP56F807&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/dsp56f80x/digital-signal-controller:DSP56F807?&fpsp=1&tab=Documentation_Tab#DSP56F807VF80","16-bit DSC, 56800 core, 128KB Flash, 80MHz, MAPBGA 160","-","MAPBGA 160","128","4","80","-","-","16-ch. 12-bit","-","-","-","1","16","-","2","12","-","4","10000 @ CNY80.37 each","160","PRODUCT MATURITY/SATURATION(4)","Low Voltage Detect, Quad Decoder","1","PWM, Watchdog","-","On-Chip Emulation","32","40","-","-","-","-","10-YEARS APPLICATION LIFE","-","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","DSP56F807","DSP56F807VF80E","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=DSP56F807&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/dsp56f80x/digital-signal-controller:DSP56F807?&fpsp=1&tab=Documentation_Tab#DSP56F807VF80E","16-bit DSC, 56800 core, 128KB Flash, 80MHz, MAPBGA 160","-","MAPBGA 160","128","4","80","-","-","16-ch. 12-bit","-","-","-","1","16","-","2","12","-","4","10000 @ CNY80.37 each","160","PRODUCT MATURITY/SATURATION(4)","Low Voltage Detect, Quad Decoder","1","PWM, Watchdog","-","On-Chip Emulation","32","40","-","-","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","3.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84441VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84441VLF","32-bit DSC, 56800EX core, 64KB Flash, 60MHz, QFP 48","-","LQFP 48","64","8","60","4","-","-","2","-","2","-","-","-","-","12","6","2","10000 @ CNY12.65 each","48","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","39","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","6","2","-","-","4","1","600","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84441VLFR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84441VLFR","32-bit DSC, 56800EX core, 64KB Flash, 60MHz, QFP 48","-","LQFP 48","64","8","60","4","-","-","2","-","2","-","-","-","-","12","-","1","10000 @ CNY12.65 each","48","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","JTAG","39","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","1","600","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84442VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84442VLH","32-bit DSC, 56800EX core, 64KB Flash, 60MHz, QFP 64","-","QFP 64","64","8","60","4","-","-","2","-","2","-","-","-","-","12","9","2","10000 @ CNY13.99 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","6","2","-","-","4","1","600","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84451VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84451VLF","32-bit DSC, 56800EX core, 96KB Flash, 60MHz, QFP 48","-","LQFP 48","96","16","60","4","-","-","2","-","2","1","-","-","-","12","-","1","10000 @ CNY16.28 each","48","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","JTAG","39","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","-","600","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84452VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84452VLH","32-bit DSC, 56800EX core, 96KB Flash, 60MHz, QFP 64","-","QFP 64","96","16","60","4","-","-","2","-","2","1","-","-","-","12","16","2","10000 @ CNY16.85 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","6","2","-","-","4","1","600","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84462VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84462VLH","32-bit DSC, 56800EX core, 128KB Flash, 60MHz, QFP 64","-","QFP 64","128","24","60","4","-","-","2","-","2","1","-","-","-","12","16","2","10000 @ CNY19.71 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","60","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","1","600","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84540VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84540VLF","32-bit DSC, 56800EX core, 64KB Flash, 80MHz, QFP 48","-","LQFP 48","64","8","80","4","-","-","2","390","2","1","-","-","-","12","-","1","10000 @ CNY20.35 each","48","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","JTAG","39","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","-","300","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84543VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84543VLH","32-bit DSC, 56800EX core, 64KB Flash, 80MHz, QFP 64","-","QFP 64","64","8","80","4","-","-","2","390","2","1","-","-","-","12","16","2","10000 @ CNY20.92 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","1","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84550VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84550VLF","32-bit DSC, 56800EX core, 96KB Flash, 80MHz, QFP 48","-","LQFP 48","96","16","80","4","-","-","2","390","2","1","-","-","-","12","-","2","10000 @ CNY22.89 each","48","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","39","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","-","300","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84550VLFR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84550VLFR","32-bit DSC, 56800EX core, 96KB Flash, 80MHz, QFP 48","-","LQFP 48","96","16","80","4","-","-","2","390","2","1","-","-","-","12","-","1","10000 @ CNY22.89 each","48","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","JTAG","39","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","-","300","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84553VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84553VLH","32-bit DSC, 56800EX core, 96KB Flash, 80MHz, QFP 64","-","QFP 64","96","16","80","4","-","-","2","390","2","1","-","-","-","12","16","2","10000 @ CNY23.53 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","1","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84565VLK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84565VLK","32-bit DSC, 56800EX core, 128KB Flash, 80MHz, QFP 80","-","QFP 80","128","24","80","4","-","-","2","-","3","1","-","-","-","12","21","2","10000 @ CNY20.92 each","80","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","68","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","6","2","-","-","4","2","600","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84567VLL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84567VLL","32-bit DSC, 56800EX core, 128KB Flash, 80MHz, QFP 100","-","LQFP 100","128","24","80","4","-","-","2","-","3","1","-","-","-","12","24","2","10000 @ CNY21.62 each","100","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","86","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","6","3","-","-","4","2","600","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84587VLL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84587VLL","32-bit DSC, 56800EX core, 256KB Flash, 80MHz, QFP 100","-","LQFP 100","256","32","80","4","-","-","2","-","3","1","-","-","-","12","24","2","10000 @ CNY25.43 each","100","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","86","80","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","3","-","-","1","2","600","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84763VLH","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84763VLH","32-bit DSC, 56800EX core, 128KB Flash, 100MHz, QFP 64","-","QFP 64","128","24","100","4","-","-","2","312","2","1","-","-","-","-","16","2","10000 @ CNY25.05 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84763VLHR","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84763VLHR","32-bit DSC, 56800EX core, 128KB Flash, 100MHz, QFP 64","-","QFP 64","128","24","100","4","-","-","2","312","2","1","-","-","-","-","-","2","10000 @ CNY25.05 each","64","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","54","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","-","2","-","-","-","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84766VLK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84766VLK","32-bit DSC, 56800EX core, 128KB Flash, 100MHz, QFP 80","-","QFP 80","128","24","100","4","-","-","2","312","3","1","-","-","-","-","16","2","10000 @ CNY29.57 each","80","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","68","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84769VLL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84769VLL","32-bit DSC, 56800EX core, 128KB Flash, 100MHz, QFP 100","-","LQFP 100","128","24","100","4","-","-","2","312","3","1","-","-","-","-","24","2","10000 @ CNY30.20 each","100","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","86","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","3","-","-","1","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84786VLK","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84786VLK","32-bit DSC, 56800EX core, 256KB Flash, 100MHz, QFP 80","-","QFP 80","256","32","100","4","-","-","2","312","3","1","-","-","-","-","16","2","10000 @ CNY32.75 each","80","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","68","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","2","-","-","1","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","MC56F84789VLL","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#MC56F84789VLL","32-bit DSC, 56800EX core, 256KB Flash, 100MHz, QFP 100","-","LQFP 100","256","32","100","4","-","-","2","312","3","1","-","-","-","-","24","2","10000 @ CNY33.38 each","100","PRODUCT RAPID GROWTH(2)","-","-","-","-","JTAG","86","100","-","-40 to 105","-","3 to 3.6","10-YEARS APPLICATION LIFE","-","-","12","3","-","-","1","2","300","4","56800 EX","3","32","2","-","-","-","-","-","-","-","-"
"FSL","其他处理器---数字信号处理器/控制器","MC56F84xxx","PC56F84550VLF","http://www.freescale.com/webapp/search.partparamdetail.framework?PART_NUMBER=MC56F84xxx&buyNow=true&fromSearch=true","http://www.freescale.com/zh-Hans/products/more-processors/dsp-dsc/dscs/mc56f84xxx/digital-signal-controllers:MC56F84xxx?&fpsp=1&tab=Documentation_Tab#PC56F84550VLF","32-bit DSC, 56800EX core, 96KB Flash, 80MHz, QFP 48","-","LQFP 48","96","16","80","4","-","-","-","390","2","1","-","-","-","-","6","1","10000 @ CNY26.01 each","48","PRODUCT NEWLY INTRO D/RAMP-UP(1)","-","-","-","-","JTAG","39","80","-","-40 to 105","-","3 to 3.6","-","-","-","12","2","-","-","1","1","300","3","56800 EX","2","32","2","-","-","-","-","-","-","-","-"
