"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","VM Min (V)","VM Max (V)","VCC Min (V)","VCC Max (V)","IO Max (A)","IO Peak Max (A)","Step Resolution","Control Type","Feedback Method","Current Sense","Regulator Output","Fault Detection","Flyback Protection","RDS(on) Typ (Ω)","Package Type"
"on","驱动器---电机驱动器","LB11970RV","LB11970RV-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11970RV-MPB-H","http://www.onsemi.com/pub/Collateral/ENA2095-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","3.5","16","4.5","16","1.2",,,"DC
PWM",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-18"
"on","驱动器---电机驱动器","LB11970RV","LB11970RV-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11970RV-TLM-H","http://www.onsemi.com/pub/Collateral/ENA2095-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","3.5","16","4.5","16","1.2",,,"DC
PWM",,"External Resistor",,"Lock
Over-Current
Thermal",,,"SSOP-18"
"on","驱动器---电机驱动器","LB11988H","LB11988H-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11988H-TLM-E","http://www.onsemi.com/pub/Collateral/ENA0299-D.PDF","Three-Phase Full-Wave Fan Motor Driver","Pb-free","Active","Three-Phase Full-Wave Fan Motor Driver","Three-Phase Fan Motor","5","22","7","22",,"1",,"DC",,"External Resistor",,"Over-Current
Thermal",,,"HSOP-28HC"
"on","驱动器---电机驱动器","LB11988V","LB11988V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB11988V-TLM-E","http://www.onsemi.com/pub/Collateral/ENA0377-D.PDF","Current Linear Drive 3-Phase BL-Motor Driver","Pb-free","Active","Current Linear Drive 3-Phase BL-Motor Driver","Three-Phase Fan Motor","5","22","7","22",,"1.3",,"DC",,"External Resistor",,"Over-Current
Thermal",,,"SSOP-24J"
"on","驱动器---电机驱动器","LB1205M","LB1205M-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1205M-MPB-E","http://www.onsemi.com/pub/Collateral/EN5916-D.PDF","4-Channel Darlington Driver Array","Pb-free","Active","4-Channel Darlington Driver Array","Drivers",,"VCC","3.5","7","1.5",,,"DC",,"None",,,,,"SOIC-16-TL / MFP-16FS"
"on","驱动器---电机驱动器","LB1205M","LB1205M-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1205M-TLM-E","http://www.onsemi.com/pub/Collateral/EN5916-D.PDF","4-Channel Darlington Driver Array","Pb-free","Active","4-Channel Darlington Driver Array","Drivers",,"VCC","3.5","7","1.5",,,"DC",,"None",,,,,"SOIC-16-TL / MFP-16FS"
"on","驱动器---电机驱动器","LB1830MC","LB1830MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1830MC-AH","http://www.onsemi.com/pub/Collateral/ENA2049-D.PDF","Low-Voltage, Low-Saturation, Bidirectional Motor Driver","Pb-free
Halide free","Active","Low-Voltage, Low-Saturation, Bidirectional Motor Driver","Brush DC","3","9","3","9",,"0.5",,"Parallel",,"None",,,,,"SOIC-10 NB"
"on","驱动器---电机驱动器","LB1837M","LB1837M-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1837M-MPB-E","http://www.onsemi.com/pub/Collateral/LB1837M-D.PDF","Low-Voltage/Low-Saturation Bidirectional Constant-Voltage Regulated Motor Driver","Pb-free","Active","Low-Voltage/Low-Saturation Bidirectional Constant-Voltage Regulated Motor Driver","Stepper/ Brush DC","3","9","3","9","0.25",,"1
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1837M","LB1837M-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1837M-TLM-E","http://www.onsemi.com/pub/Collateral/LB1837M-D.PDF","Low-Voltage/Low-Saturation Bidirectional Constant-Voltage Regulated Motor Driver","Pb-free","Active","Low-Voltage/Low-Saturation Bidirectional Constant-Voltage Regulated Motor Driver","Stepper/ Brush DC","3","9","3","9","0.25",,"1
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1838M","LB1838M-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1838M-TLM-E","http://www.onsemi.com/pub/Collateral/LB1838M-D.PDF","Motor Driver, Low Saturation, Bidirectional, for Low Voltage Drive","Pb-free","Active","Motor Driver, Low Saturation, Bidirectional, for Low Voltage Drive","Stepper","1.8","9","2.5","9","1",,"1
1/2
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1838M","LB1838M-TRM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1838M-TRM-E","http://www.onsemi.com/pub/Collateral/LB1838M-D.PDF","Motor Driver, Low Saturation, Bidirectional, for Low Voltage Drive","Pb-free","Active","Motor Driver, Low Saturation, Bidirectional, for Low Voltage Drive","Stepper","1.8","9","2.5","9","1",,"1
1/2
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1845","LB1845-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1845-E","http://www.onsemi.com/pub/Collateral/LB1845-D.PDF","PWM Current Controlling Stepping Motor Driver","Pb-free","Active","PWM Current Controlling Stepping Motor Driver","Stepper","10","44.5","4.75","7","1.5","1.75","1
¼
½","Parallel",,"External Resistor",,"Thermal",,,"PDIP-30"
"on","驱动器---电机驱动器","LB1847","LB1847-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1847-E","http://www.onsemi.com/pub/Collateral/LB1847-D.PDF","PWM Current Control Type Stepper Motor Driver","Pb-free","Active","PWM Current Control Type Stepper Motor Driver","Stepper","10","45","4.75","7","1.5","1.75","1/16
1/8
¼
½","Parallel",,"External Resistor",,"Thermal
UVLO",,,"PDIP-30"
"on","驱动器---电机驱动器","LB1860M","LB1860M-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1860M-TLM-H","http://www.onsemi.com/pub/Collateral/LB1860_60M_61_61M-D.PDF","2-Phase Half-Wave Variable Speed Fan Motor Driver","Pb-free
Halide free","Active","2-Phase Half-Wave Variable Speed Fan Motor Driver","Two-Phase Fan Motor",,,,,"1.5",,,,,,,,,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1862MC","LB1862MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1862MC-AH","http://www.onsemi.com/pub/Collateral/ENA2024-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","3.8","16.8","3.8","16.8",,"0.5",,"DC",,"None",,"Lock
Thermal",,,"SOIC-10 W / MFP-10SK"
"on","驱动器---电机驱动器","LB1867M","LB1867M-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1867M-MPB-H","http://www.onsemi.com/pub/Collateral/EN6204-D.PDF","Two-Phase Brushless Fan Motor Driver","Pb-free
Halide free","Active","Two-Phase Brushless Fan Motor Driver","Two-Phase Fan Motor",,"60","6.4","7","1",,,"Parallel",,"None",,"Lock
Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1867M","LB1867M-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1867M-TLM-H","http://www.onsemi.com/pub/Collateral/EN6204-D.PDF","Two-Phase Brushless Fan Motor Driver","Pb-free
Halide free","Active","Two-Phase Brushless Fan Motor Driver","Two-Phase Fan Motor",,"60","6.4","7","1",,,"Parallel",,"None",,"Lock
Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1876","LB1876-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1876-MPB-E","http://www.onsemi.com/pub/Collateral/EN6201-D.PDF","Three-Phase Brushless Motor Driver for Polygon Mirror Motors","Pb-free","Active","Three-Phase Brushless Motor Driver for Polygon Mirror Motors","Brushless DC","9.5","28","9.5","28",,"2.5",,"Clock",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"HSOP-36"
"on","驱动器---电机驱动器","LB1876","LB1876-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1876-TLM-E","http://www.onsemi.com/pub/Collateral/EN6201-D.PDF","Three-Phase Brushless Motor Driver for Polygon Mirror Motors","Pb-free","Active","Three-Phase Brushless Motor Driver for Polygon Mirror Motors","Brushless DC","9.5","28","9.5","28",,"2.5",,"Clock",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"HSOP-36"
"on","驱动器---电机驱动器","LB1927","LB1927-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1927-E","http://www.onsemi.com/pub/Collateral/EN6197-D.PDF","Three-Phase Brushless Motor Driver for Office Automation Equipment","Pb-free","Active","Three-Phase Brushless Motor Driver for Office Automation Equipment","Brushless DC","9.5","28","9.5","28",,"2.5",,"Clock",,"External Resistor",,"Lock
Over-Current
Thermal",,,"PDIP-30"
"on","驱动器---电机驱动器","LB1929","LB1929-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1929-E","http://www.onsemi.com/pub/Collateral/EN7099-D.PDF","Three-Phase Brushless Motor Driver for Office Automation Equipment","Pb-free","Active","Three-Phase Brushless Motor Driver for Office Automation Equipment","Brushless DC","9.5","28","9.5","28",,"3.5",,"Clock",,"External Resistor",,"Lock
Over-Current
Thermal",,,"PDIP-30"
"on","驱动器---电机驱动器","LB1933M","LB1933M-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1933M-MPB-E","http://www.onsemi.com/pub/Collateral/EN6505-D.PDF","Low-Voltage, Low-Saturation, Forward/Reverse Motor Driver","Pb-free","Active","Low-Voltage, Low-Saturation, Forward/Reverse Motor Driver","Stepper","1.8","7.5","2.2","7.5","1",,"1
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1933M","LB1933M-TRM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1933M-TRM-E","http://www.onsemi.com/pub/Collateral/EN6505-D.PDF","Low-Voltage, Low-Saturation, Forward/Reverse Motor Driver","Pb-free","Active","Low-Voltage, Low-Saturation, Forward/Reverse Motor Driver","Stepper","1.8","7.5","2.2","7.5","1",,"1
½","Parallel",,"None",,"Thermal",,,"SOIC-14W / MFP-14S"
"on","驱动器---电机驱动器","LB1936V","LB1936V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1936V-TLM-E","http://www.onsemi.com/pub/Collateral/LB1936V-D.PDF","Low Voltage, Low Saturation, Bidirectional Motor Driver","Pb-free","Active","Low Voltage, Low Saturation, Bidirectional Motor Driver","Stepper/ Brush DC","2.5","9.5","2.5","9.5","0.8",,"1
½","Parallel",,"External Resistor",,"Over-Current
Thermal",,,"SSOP-16"
"on","驱动器---电机驱动器","LB1938FA","LB1938FA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1938FA-AH","http://www.onsemi.com/pub/Collateral/ENA2041-D.PDF","Motor Driver, Forward / Reverse, Low Voltage, Low Saturation","Pb-free
Halide free","Active","Motor Driver, Forward / Reverse, Low Voltage, Low Saturation","Brush DC","2.2","10","2.2","10",,"0.8",,"Parallel",,"None",,"Thermal",,,"Micro8™"
"on","驱动器---电机驱动器","LB1938FA","LB1938FA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1938FA-BH","http://www.onsemi.com/pub/Collateral/ENA2041-D.PDF","Motor Driver, Forward / Reverse, Low Voltage, Low Saturation","Pb-free
Halide free","Active","Motor Driver, Forward / Reverse, Low Voltage, Low Saturation","Brush DC","2.2","10","2.2","10",,"0.8",,"Parallel",,"None",,"Thermal",,,"Micro8™"
"on","驱动器---电机驱动器","LB1940T","LB1940T-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1940T-TLM-H","http://www.onsemi.com/pub/Collateral/LB1940T-D.PDF","2-Channel H-Bridge Constant Current Driver","Pb-free
Halide free","Active","2-Channel H-Bridge Constant Current Driver","Stepper","1.6","7.5","1.6","7.5","0.4",,"1
½","Parallel",,"External Resistor",,"Thermal",,,"TSSOP-20"
"on","驱动器---电机驱动器","LB1945H","LB1945H-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1945H-MPB-E","http://www.onsemi.com/pub/Collateral/LB1945H-D.PDF","PWM Current Control Type Stepping Motor Driver","Pb-free","Active","PWM Current Control Type Stepping Motor Driver","Stepper","10","28","4.75","6","0.8","1","1
¼
½","Parallel",,"External Resistor",,"Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB1945H","LB1945H-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1945H-TLM-E","http://www.onsemi.com/pub/Collateral/LB1945H-D.PDF","PWM Current Control Type Stepping Motor Driver","Pb-free","Active","PWM Current Control Type Stepping Motor Driver","Stepper","10","28","4.75","6","0.8","1","1
¼
½","Parallel",,"External Resistor",,"Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB1948MC","LB1948MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1948MC-AH","http://www.onsemi.com/pub/Collateral/ENA2015-D.PDF","Motor Driver, Forward / Reverse, Low Saturation Voltage, 12 V","Pb-free
Halide free","Active","Motor Driver, Forward / Reverse, Low Saturation Voltage, 12 V ","Stepper/ Brush DC","2.5","16","2.5","16",,"0.8","1
½","Parallel",,"None",,"Thermal",,,"SOIC-10 W / MFP-10SK"
"on","驱动器---电机驱动器","LB1962MC","LB1962MC-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1962MC-AH","http://www.onsemi.com/pub/Collateral/ENA2025-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","3.8","16.8","3.8","16.8",,"0.5",,"DC",,"None",,"Lock
Thermal",,,"SOIC-10 NB"
"on","驱动器---电机驱动器","LB1975","LB1975-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1975-E","http://www.onsemi.com/pub/Collateral/EN6087-D.PDF","3-Phase Brushless Motor Driver","Pb-free","Active","3-Phase Brushless Motor Driver","Brushless DC","20","42","4.5","7","2.5",,,"DC",,"External Resistor",,"Over-Current
Thermal
UVLO",,,"PDIP-30"
"on","驱动器---电机驱动器","LB1980H","LB1980H-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1980H-MPB-E","http://www.onsemi.com/pub/Collateral/EN5974-D.PDF","Three-Phase Brushless Motor Driver for VCR Capstan Motors","Pb-free","Active","Three-Phase Brushless Motor Driver for VCR Capstan Motors","Brushless DC","5","22","4.5","5.5","1.3",,,,,"External Resistor",,"Over-Current
Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB1980H","LB1980H-TRM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB1980H-TRM-E","http://www.onsemi.com/pub/Collateral/EN5974-D.PDF","Three-Phase Brushless Motor Driver for VCR Capstan Motors","Pb-free","Active","Three-Phase Brushless Motor Driver for VCR Capstan Motors","Brushless DC","5","22","4.5","5.5","1.3",,,,,"External Resistor",,"Over-Current
Thermal",,,"HSOP-28H"
"on","驱动器---电机驱动器","LB8503V","LB8503V-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB8503V-MPB-E","http://www.onsemi.com/pub/Collateral/ENA0366-D.PDF","DC Fan Motor Speed Controller","Pb-free","Active","DC Fan Motor Speed Controller","Brushless DC","7.5","17","6.5","5.5","0.0025","0.003",,"DC
PWM",,"None",,,,,"SSOP-16"
"on","驱动器---电机驱动器","LB8503V","LB8503V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LB8503V-TLM-E","http://www.onsemi.com/pub/Collateral/ENA0366-D.PDF","DC Fan Motor Speed Controller","Pb-free","Active","DC Fan Motor Speed Controller","Brushless DC","7.5","17","6.5","5.5","0.0025","0.003",,"DC
PWM",,"None",,,,,"SSOP-16"
"on","驱动器---电机驱动器","LC898111AXB","LC898111AXB-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898111AXB-MH","http://www.onsemi.com/pub/Collateral/LC898111AXB-D.PDF","Optical Image Stabilization (OIS) Controller & Driver","Pb-free
Halide free","Active","Optical Image Stabilization (OIS) Controller & Driver","OIS/AF","2.6","3.6","2.6","3.6","0.22","0.3",,"I2C
SPI",,,"Yes",,,,"WLCSP-48"
"on","驱动器---电机驱动器","LC898119XC","LC898119XC-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898119XC-MH","http://www.onsemi.com/pub/Collateral/LC898119XC-D.PDF","Optical Image Stabilization (OIS) Controller & Driver","Pb-free
Halide free","Active","Optical Image Stabilization (OIS) Controller & Driver","OIS/AF","2.6","3.6","2.6","3.6","0.22",,,"I2C",,,"Yes",,,,"WLCSP-25"
"on","驱动器---电机驱动器","LC898122AXA","LC898122AXA-VH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898122AXA-VH","http://www.onsemi.com/pub/Collateral/LC898122AXA-D.PDF","Optical Image Stabilization (OIS) / Auto Focus (AF) Controller & Driver","Pb-free
Halide free","Active","Optical Image Stabilization (OIS) / Auto Focus (AF) Controller & Driver","OIS/AF","2.6","3.6","2.6","3.6","0.22",,,"I2C",,,"Yes",,,,"WLCSP-30"
"on","驱动器---电机驱动器","LC898123AXD","LC898123AXD-VH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898123AXD-VH","http://www.onsemi.com/pub/Collateral/LC898123AXD-D.PDF","Optical Image Stabilization (OIS) / Auto Focus (AF) Controller & Driver","Pb-free
Halide free","ActiveNEW","Optical Image Stabilization (OIS) / Auto Focus (AF) Controller & Driver","OIS/AF","2.6","3.6","2.6","3.6","0.220/0.150","0.300/0.200",,"Serial",,"None","Yes",,"Integrated Active","2.4/2.9","WLCSP-35"
"on","驱动器---电机驱动器","LC898212XC","LC898212XC-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898212XC-MH","http://www.onsemi.com/pub/Collateral/ENA2241-D.PDF","Auto Focus (AF) Controller","Pb-free
Halide free","Active","Auto Focus (AF) Controller","OIS/AF","2.6","3.6","2.6","3.6","0.13","0.195",,"I2C",,,"Yes",,,"7.7","WLCSP-12 / WLP-12"
"on","驱动器---电机驱动器","LC898213XC","LC898213XC-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898213XC-MH","http://www.onsemi.com/pub/Collateral/ENA2251-D.PDF","Auto Focus (AF) Controller","Pb-free
Halide free","Active","Auto Focus (AF) Controller","OIS/AF","2.6","3.6","2.6","3.6","0.13","0.195",,"I2C",,,"Yes",,,"6.5","WLCSP-11"
"on","驱动器---电机驱动器","LC898214XD","LC898214XD-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898214XD-MH","http://www.onsemi.com/pub/Collateral/LC898214XD-D.PDF","Auto Focus (AF) Controller","Pb-free
Halide free","Active","Auto Focus (AF) Controller","OIS/AF","2.6","3.6","2.6","3.6","0.12","0.18",,"I2C",,,"No",,,,"WLCSP-8"
"on","驱动器---电机驱动器","LC898300XA","LC898300XA-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898300XA-MH","http://www.onsemi.com/pub/Collateral/ENA2053-D.PDF","Linear Vibrator Driver","Pb-free
Halide free","Active","Linear Vibrator Driver","Drivers","2.7","3.3","2.7","3.3","0.15",,,"I2C","Back EMF/Sensorless","None",,,,"4","WLCSP-9 / WLP-9"
"on","驱动器---电机驱动器","LC898301XA","LC898301XA-MH","http://www.onsemi.cn/PowerSolutions/product.do?id=LC898301XA-MH","http://www.onsemi.com/pub/Collateral/ENA2231-D.PDF","Linear Vibrator Driver","Pb-free
Halide free","Active","Linear Vibrator Driver","Drivers","3","5.5","3","5.5","0.2",,,"I2C","Back EMF/Sensorless","none",,"Open-Short Thermal",,"3.5","WLCSP-8"
"on","驱动器---电机驱动器","LV11961HA","LV11961HA-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV11961HA-AH","http://www.onsemi.com/pub/Collateral/LV11961HA-D.PDF","Single-phase FAN Motor Driver","Pb-free
Halide free","Active","Single-phase FAN Motor Driver","Single-Phase Fan Motor",,,"3.6","18",,"1",,"DC","None","None",,"Lock
Thermal
UVLO",,"1.7","HSSOP-14"
"on","驱动器---电机驱动器","LV8012T","LV8012T-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8012T-TLM-E","http://www.onsemi.com/pub/Collateral/LV8012T-D.PDF","Forward/Reverse Motor Driver","Pb-free","Active","Forward/Reverse Motor Driver","Stepper/ Brush DC","2","7","2.7","6",,"1.4","1
½","Parallel",,"None",,"Thermal
UVLO",,"0.75","TSSOP-24"
"on","驱动器---电机驱动器","LV8018W","LV8018W-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8018W-MPB-E","-","4-Channel PWM H-Bridge Driver","Pb-free","Active","4-Channel PWM H-Bridge Driver","Brush DC","1.2","5.5","2","3.6","0.5",,,"Parallel","None","None","No","Thermal","Integrated Active",,"SPQFP-48 / SQFP-48"
"on","驱动器---电机驱动器","LV8019V","LV8019V-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8019V-MPB-E","http://www.onsemi.com/pub/Collateral/LV8019V-D.PDF","Forward/Reverse Motor Driver","Pb-free","Active","Forward/Reverse Motor Driver","Brush DC","3","7.4","2.7","7","1.2","5",,"Parallel",,"None",,"Thermal
UVLO",,"0.3","SSOP-16"
"on","驱动器---电机驱动器","LV8019V","LV8019V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8019V-TLM-E","http://www.onsemi.com/pub/Collateral/LV8019V-D.PDF","Forward/Reverse Motor Driver","Pb-free","Active","Forward/Reverse Motor Driver","Brush DC","3","7.4","2.7","7","1.2","5",,"Parallel",,"None",,"Thermal
UVLO",,"0.3","SSOP-16"
"on","驱动器---电机驱动器","LV8063FA","LV8063FA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8063FA-BH","http://www.onsemi.com/pub/Collateral/ENA2062-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","2.2","6","2.2","6","0.7","1",,"PWM",,"None",,"Lock
Thermal",,,"Micro10"
"on","驱动器---电机驱动器","LV8075LP","LV8075LP-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8075LP-E","http://www.onsemi.com/pub/Collateral/LV8075LP-D.PDF","Motor Driver, Forward / Reverse, 1-Channel, Constant Voltage Control","Pb-free","Active","Motor Driver, Forward / Reverse, 1-Channel, Constant Voltage Control","Brush DC","2.5","5.5","2.5","5.5","0.5",,,"Parallel",,"None",,"Thermal
UVLO",,"1.75","VCT-16"
"on","驱动器---电机驱动器","LV8075LP","LV8075LP-TE-L-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8075LP-TE-L-E","http://www.onsemi.com/pub/Collateral/LV8075LP-D.PDF","Motor Driver, Forward / Reverse, 1-Channel, Constant Voltage Control","Pb-free","Active","Motor Driver, Forward / Reverse, 1-Channel, Constant Voltage Control","Brush DC","2.5","5.5","2.5","5.5","0.5",,,"Parallel",,"None",,"Thermal
UVLO",,"1.75","VCT-16"
"on","驱动器---电机驱动器","LV8104V","LV8104V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8104V-TLM-H","http://www.onsemi.com/pub/Collateral/LV8104V-D.PDF","Motor Predriver, Brushless, 3-Phase","Pb-free
Halide free","Active","Motor Predriver, Brushless, 3-Phase","Brushless DC",,,"16","28","0.015",,,"Clock",,"External Resistor","Yes","Lock
Thermal
UVLO",,,"SSOP-44"
"on","驱动器---电机驱动器","LV8111VB","LV8111VB-AH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8111VB-AH","http://www.onsemi.com/pub/Collateral/LV8111VB-D.PDF","3-phase Brushless Motor Driver for a Polygon Mirror Motor","Pb-free
Halide free","Active","3-phase Brushless Motor Driver for a Polygon Mirror Motor","Brushless DC","10","37","10","37",,"3",,"Clock",,"External Resistor","Yes","Lock
Over-Current
Thermal
UVLO",,"1.5","SSOP-44K EP"
"on","驱动器---电机驱动器","LV8121V","LV8121V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8121V-TLM-H","http://www.onsemi.com/pub/Collateral/ENA2135-D.PDF","Three-Phase Brushless Motor Driver","Pb-free
Halide free","Active","Three-Phase Brushless Motor Driver","Three-Phase Fan Motor","8","35","8","35",,"3.5",,"DC",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,"0.53","SSOP-44K EP"
"on","驱动器---电机驱动器","LV8136V","LV8136V-MPB-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8136V-MPB-H","http://www.onsemi.com/pub/Collateral/ENA2005-D.PDF","Motor Predriver, Brushless, 3-Phase","Pb-free
Halide free","Active","Motor Predriver, Brushless, 3-Phase","Brushless DC",,,"9.5","16.5",,"0.015",,"DC",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,"30","SSOP-30"
"on","驱动器---电机驱动器","LV8136V","LV8136V-TLM-H","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8136V-TLM-H","http://www.onsemi.com/pub/Collateral/ENA2005-D.PDF","Motor Predriver, Brushless, 3-Phase","Pb-free
Halide free","Active","Motor Predriver, Brushless, 3-Phase","Brushless DC",,,"9.5","16.5",,"0.015",,"DC",,"External Resistor",,"Lock
Over-Current
Thermal
UVLO",,"30","SSOP-30"
"on","驱动器---电机驱动器","LV8163QA","LV8163QA-BH","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8163QA-BH","http://www.onsemi.com/pub/Collateral/ENA2065-D.PDF","Single-Phase Full-Wave Fan Motor Driver","Pb-free
Halide free","Active","Single-Phase Full-Wave Fan Motor Driver","Single-Phase Fan Motor","2.2","6","2.2","6",,"0.7",,"PWM",,"None",,"Lock
Thermal",,,"UDFN-10"
"on","驱动器---电机驱动器","LV8401V","LV8401V-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8401V-MPB-E","http://www.onsemi.com/pub/Collateral/LV8401V-D.PDF","Motor Driver, Forward / Reverse","Pb-free","Active","Motor Driver, Forward / Reverse","Brush DC","4","15","2.7","6","1.2","3.8",,"Parallel",,"None","Yes","Thermal
UVLO",,"0.33","SSOP-16"
"on","驱动器---电机驱动器","LV8401V","LV8401V-TLM-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8401V-TLM-E","http://www.onsemi.com/pub/Collateral/LV8401V-D.PDF","Motor Driver, Forward / Reverse","Pb-free","Active","Motor Driver, Forward / Reverse","Brush DC","4","15","2.7","6","1.2","3.8",,"Parallel",,"None","Yes","Thermal
UVLO",,"0.33","SSOP-16"
"on","驱动器---电机驱动器","LV8402V","LV8402V-MPB-E","http://www.onsemi.cn/PowerSolutions/product.do?id=LV8402V-MPB-E","http://www.onsemi.com/pub/Collateral/ENA1888-D.PDF","2-Channel Forward/Reverse Motor Driver","Pb-free","Active","2-Channel Forward/Reverse Motor Driver","Stepper/ Brush DC","1.5","15","2.8","5.5","1.4","2.5","1
1/2","Parallel",,"None",,"Thermal
UVLO",,"0.75","SSOP-16"
