"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Topology","Control Mode","VCC Min (V)","VCC Max (V)","VO Typ (V)","IO Typ (A)","Efficiency (%)","fSW Typ (kHz)","Package Type"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV3163","NCV3163MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3163MNR2G","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Converter, Switching Regulator, 3.4 A, 50-300 Hz","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck / Boost / Inverting Converter, Switching Regulator, 3.4 A, 50-300 Hz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","80","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV3163","NCV3163PWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV3163PWR2G","http://www.onsemi.com/pub/Collateral/NCP3163-D.PDF","Buck / Boost / Inverting Converter, Switching Regulator, 3.4 A, 50-300 Hz","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck / Boost / Inverting Converter, Switching Regulator, 3.4 A, 50-300 Hz","Step-Down
Step-Up
Step-Up/Step-Down","Hysteretic","2.5","40","1.25 to 40","3","80","Up to 300","DFN-18
SOIC-16W EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV33163","NCV33163DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV33163DWR2G","http://www.onsemi.com/pub/Collateral/NCV33163-D.PDF","Buck / Boost / Inverting Converter, Switching Regulator, 2.5 A","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck / Boost / Inverting Converter, Switching Regulator, 2.5 A","Step-Up/Step-Down","Voltage Mode","2.5","60","1.25 to 40","3.4","80","Up to 250","SOIC-16W"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV5171","NCV5171EDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV5171EDR2G","http://www.onsemi.com/pub/Collateral/NCV5171-D.PDF","Boost Converter, 280 kHz, 1.5 A, for Automotive","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Boost Converter, 280 kHz, 1.5 A, for Automotive","Step-Up","Current Mode","2.7","30","Up to 30","1.5","80","Up to 600","SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV6323","NCP6323DMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCP6323DMTAATBG","http://www.onsemi.com/pub/Collateral/NCV6323-D.PDF","Synchronous Buck Converter, 3 MHz, 2 A","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Synchronous Buck Converter, 3 MHz, 2 A","Step-Down","Voltage Mode","2.5","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV6323","NCV6323BMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV6323BMTAATBG","http://www.onsemi.com/pub/Collateral/NCV6323-D.PDF","Synchronous Buck Converter, 3 MHz, 2 A","Pb-free
Halide free
AEC Qualified
PPAP Capable","ActiveNEW","Synchronous Buck Converter, 3 MHz, 2 A","Step-Down","Voltage Mode","2.5","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV6354","NCV6354BMTAATBG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV6354BMTAATBG","http://www.onsemi.com/pub/Collateral/NCV6354-D.PDF","3.0 MHz, 2.0 A PWM Synchronous Step Down Converter with Power Good","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","3.0 MHz, 2.0 A PWM Synchronous Step Down Converter with Power Good","Step-Down","Voltage Mode","2.3","5.5","0.6 to 5.0","2","96","3000","WDFN-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV8843","NCV8843DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8843DR2G","http://www.onsemi.com/pub/Collateral/NCV8843-D.PDF","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","Step-Down","V2","4","40",,"1.5",,"Up to 700","DFN-18
SOIC-16W
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV8843","NCV8843MNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8843MNR2G","http://www.onsemi.com/pub/Collateral/NCV8843-D.PDF","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","Step-Down","V2","4","40",,"1.5",,"Up to 700","DFN-18
SOIC-16W
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV8843","NCV8843PWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV8843PWR2G","http://www.onsemi.com/pub/Collateral/NCV8843-D.PDF","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Buck Regulator, 1.5 A, 340 kHz, with Synchronization Capability","Step-Down","V2","4","40",,"1.5",,"Up to 700","DFN-18
SOIC-16W
SOIC-8"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890100","NCV890100MWTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890100MWTXG","http://www.onsemi.com/pub/Collateral/NCV890100-D.PDF","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz","Step-Down",,"4.5","40","Adjustable","1.2",,"2250","DFN-8
SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890100","NCV890100PDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890100PDR2G","http://www.onsemi.com/pub/Collateral/NCV890100-D.PDF","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz","Step-Down",,"4.5","40","Adjustable","1.2",,"2250","DFN-8
SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890103","NCV890103MWTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890103MWTXG","http://www.onsemi.com/pub/Collateral/NCV890103-D.PDF","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz, Reset, Adjustable Delay","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Automotive Switching Regulator, Buck, 1.2 A, 2 MHz, Reset, Adjustable Delay","Step-Down","Current Mode","4.5","40","Variable","1.2",,"2000","DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890130","NCV890130MWTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890130MWTXG","http://www.onsemi.com/pub/Collateral/NCV890130-D.PDF","Automotive Switching Regulator, 1.2 A, 2 MHz, 45 V Load Dump","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Switching Regulator, 1.2 A, 2 MHz, 45 V Load Dump","Step-Down","Current Mode","4.5","45","Adjustable","1.2",,"2200","DFN-8
SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890130","NCV890130PDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890130PDR2G","http://www.onsemi.com/pub/Collateral/NCV890130-D.PDF","Automotive Switching Regulator, 1.2 A, 2 MHz, 45 V Load Dump","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Switching Regulator, 1.2 A, 2 MHz, 45 V Load Dump","Step-Down","Current Mode","4.5","45","Adjustable","1.2",,"2200","DFN-8
SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890200","NCV890200PDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890200PDR2G","http://www.onsemi.com/pub/Collateral/NCV890200-D.PDF","Automotive Switching Regulator, Buck, 2 A, 2 MHz","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Switching Regulator, Buck, 2 A, 2 MHz","Step-Down","Current Mode","4.5","40","Adjustable","2",,"Up to 2200","SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890203","NCV890203MWTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890203MWTXG","http://www.onsemi.com/pub/Collateral/NCV890203-D.PDF","Automotive Switching Regulator, Buck, 2.0 A, 2 MHz, Reset, Adjustable Delay","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Automotive Switching Regulator, Buck, 2.0 A, 2 MHz, Reset, Adjustable Delay","Step-Down","Current Mode","4.5","40","Variable","2",,"2000","DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV890230","NCV890230PDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV890230PDR2G","http://www.onsemi.com/pub/Collateral/NCV890230-D.PDF","Automotive Buck Switching Regulator, 2 A, 2 MHz , 45 V Load Dump","AEC Qualified
PPAP Capable
Pb-free","Active","Automotive Buck Switching Regulator, 2 A, 2 MHz , 45 V Load Dump","Step-Down","Current Mode","4.5","45","Adjustable","2",,"2250","SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV891130","NCV891130PD33R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV891130PD33R2G","http://www.onsemi.com/pub/Collateral/NCV891130-D.PDF","1.2 A, 2 MHz Low-I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","1.2 A, 2 MHz Low-I<sub>q</sub> Dual-Mode Step-Down Regulator for Automotive","Step-Down","Current Mode","3.7","45","3.3
4
5","1.2","85","2000","SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV891130","NCV891130PD40R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV891130PD40R2G","http://www.onsemi.com/pub/Collateral/NCV891130-D.PDF","1.2 A, 2 MHz Low-I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","1.2 A, 2 MHz Low-I<sub>q</sub> Dual-Mode Step-Down Regulator for Automotive","Step-Down","Current Mode","3.7","45","3.3
4
5","1.2","85","2000","SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV891130","NCV891130PD50R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV891130PD50R2G","http://www.onsemi.com/pub/Collateral/NCV891130-D.PDF","1.2 A, 2 MHz Low-I","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","1.2 A, 2 MHz Low-I<sub>q</sub> Dual-Mode Step-Down Regulator for Automotive","Step-Down","Current Mode","3.7","45","3.3
4
5","1.2","85","2000","SOIC-8 EP"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV894530","NCV894530MWTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV894530MWTXG","http://www.onsemi.com/pub/Collateral/NCV894530-D.PDF","2.1 MHz Low Voltage Buck Converter","AEC Qualified
PPAP Capable
Pb-free
Halide free","ActiveNEW","2.1 MHz Low Voltage Buck Converter","Step-Down","Current Mode","2.7","5.5","Adjustable","1.2",,"2200","DFN-10"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV97310","NCV97310MW33R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV97310MW33R2G","http://www.onsemi.com/pub/Collateral/NCV97310-D.PDF","Multi-output Power Management Unit (PMU) with 3 Buck Regulators., NCV97310 - 3.3 V Version","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Multi-output Power Management Unit (PMU) with 3 Buck Regulators.","Step-Down","Current Mode","4.1","45","1.2-5","3","85","2000","QFN-32"
"on","DC-DC控制器、转换器和稳压器---转换器","NCV97310","NCV97310MW50R2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NCV97310MW50R2G","http://www.onsemi.com/pub/Collateral/NCV97310-D.PDF","Multi-output Power Management Unit (PMU) with 3 Buck Regulators., NCV97310 - 5.0 V Version","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","Multi-output Power Management Unit (PMU) with 3 Buck Regulators.","Step-Down","Current Mode","4.1","45","1.2-5","3","85","2000","QFN-32"
