"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Channels","Input Level","Output Level","VCC Typ (V)","fMax Typ (MHz)","tpd Typ (ns)","tR & tF Max (ps)","Package Type"
"on","时钟及数据分配---转换器","MC10EPT20","MC10EPT20MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EPT20MNR4G","http://www.onsemi.com/pub/Collateral/MC10EPT20-D.PDF","Translator, LVTTL / LVCMOS to Differential LVPECL","Pb-free
Halide free","Active","Translator, LVTTL / LVCMOS to Differential LVPECL","1","CMOS
TTL","ECL","3.3","1000","0.37","170","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","MC10H125","MC10H125FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H125FNG","http://www.onsemi.com/pub/Collateral/MC10H125-D.PDF","Quad ECL to TTL Translator","Pb-free
Halide free","Active","Quad ECL to TTL Translator","4","ECL","TTL","5","50","2.1","1200","PDIP-16
PLLC-20"
"on","时钟及数据分配---转换器","MC10H125","MC10H125FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H125FNR2G","http://www.onsemi.com/pub/Collateral/MC10H125-D.PDF","Quad ECL to TTL Translator","Pb-free
Halide free","Active","Quad ECL to TTL Translator","4","ECL","TTL","5","50","2.1","1200","PDIP-16
PLLC-20"
"on","时钟及数据分配---转换器","MC10H125","MC10H125PG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H125PG","http://www.onsemi.com/pub/Collateral/MC10H125-D.PDF","Quad ECL to TTL Translator","Pb-free
Halide free","Active","Quad ECL to TTL Translator","4","ECL","TTL","5","50","2.1","1200","PDIP-16
PLLC-20"
"on","时钟及数据分配---转换器","MC10H351","MC10H351FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H351FNG","http://www.onsemi.com/pub/Collateral/MC10H351-D.PDF","TTL, NMOS to ECL Translator","Pb-free
Halide free","Active","TTL, NMOS to ECL Translator","4","TTL","ECL","5","150","1.3","1900","PLLC-20"
"on","时钟及数据分配---转换器","MC10H351","MC10H351FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H351FNR2G","http://www.onsemi.com/pub/Collateral/MC10H351-D.PDF","TTL, NMOS to ECL Translator","Pb-free
Halide free","Active","TTL, NMOS to ECL Translator","4","TTL","ECL","5","150","1.3","1900","PLLC-20"
"on","时钟及数据分配---转换器","MC10H601","MC10H601FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H601FNG","http://www.onsemi.com/pub/Collateral/MC10H601-D.PDF","9-Bit ECL-TTL Translator","Pb-free
Halide free","Active","9-Bit ECL-TTL Translator","1","ECL","TTL","5",,"3.25","1200
3000","PLCC-28"
"on","时钟及数据分配---转换器","MC10H601","MC10H601FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H601FNR2G","http://www.onsemi.com/pub/Collateral/MC10H601-D.PDF","9-Bit ECL-TTL Translator","Pb-free
Halide free","Active","9-Bit ECL-TTL Translator","1","ECL","TTL","5",,"3.25","1200
3000","PLCC-28"
"on","时钟及数据分配---转换器","MC10H604","MC10H604FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10H604FNR2G","http://www.onsemi.com/pub/Collateral/MC10H604-D.PDF","Registered Hex TTL/ECL Translator","Pb-free
Halide free","Active","Registered Hex TTL/ECL Translator","6","TTL","ECL","5",,"2.5","2000","PLCC-28"
"on","时钟及数据分配---转换器","NB100ELT23L","NB100ELT23LDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB100ELT23LDG","http://www.onsemi.com/pub/Collateral/NB100ELT23L-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL ","2","ECL","TTL","3.3","160","1.9","1250
1700","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","NB100ELT23L","NB100ELT23LDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB100ELT23LDR2G","http://www.onsemi.com/pub/Collateral/NB100ELT23L-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL ","2","ECL","TTL","3.3","160","1.9","1250
1700","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","NB100ELT23L","NB100ELT23LDTG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB100ELT23LDTG","http://www.onsemi.com/pub/Collateral/NB100ELT23L-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL ","2","ECL","TTL","3.3","160","1.9","1250
1700","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","NB100ELT23L","NB100ELT23LDTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NB100ELT23LDTR2G","http://www.onsemi.com/pub/Collateral/NB100ELT23L-D.PDF","Translator, Dual Differential LVPECL to LVTTL","Pb-free
Halide free","Active","Translator, Dual Differential LVPECL to LVTTL ","2","ECL","TTL","3.3","160","1.9","1250
1700","SOIC-8
TSSOP-8"
"on","时钟及数据分配---转换器","NB3L14S","NB3L14SMNG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB3L14SMNG","http://www.onsemi.com/pub/Collateral/NB3L14S-D.PDF","2.5 V 1:4 LVDS Fanout Buffer, 2.5 V 1:4 LVDS Fanout Buffer","Pb-free
Halide free","Active","2.5 V 1:4 LVDS Fanout Buffer","1","LVDS","LVDS","2.5",,"0.45","350","QFN-16"
"on","时钟及数据分配---转换器","NB3L14S","NB3L14SMNTXG","http://www.onsemi.cn/PowerSolutions/product.do?id=NB3L14SMNTXG","http://www.onsemi.com/pub/Collateral/NB3L14S-D.PDF","2.5 V 1:4 LVDS Fanout Buffer, 2.5 V 1:4 LVDS Fanout Buffer","Pb-free
Halide free","Active","2.5 V 1:4 LVDS Fanout Buffer","1","LVDS","LVDS","2.5",,"0.45","350","QFN-16"
"on","时钟及数据分配---转换器","NBA3N200S","NBA3N200SDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBA3N200SDG","http://www.onsemi.com/pub/Collateral/NBA3N200S-D.PDF","M-LVDS Driver Receiver Automotive Grade 3.3 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","M-LVDS Driver Receiver Automotive Grade 3.3 V","1","LVCMOS
M-LVDS","LVCMOS
M-LVDS","3.3","100","1.5
4","1.6
2.3","SOIC-8"
"on","时钟及数据分配---转换器","NBA3N200S","NBA3N200SDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBA3N200SDR2G","http://www.onsemi.com/pub/Collateral/NBA3N200S-D.PDF","M-LVDS Driver Receiver Automotive Grade 3.3 V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","M-LVDS Driver Receiver Automotive Grade 3.3 V","1","LVCMOS
M-LVDS","LVCMOS
M-LVDS","3.3","100","1.5
4","1.6
2.3","SOIC-8"
"on","时钟及数据分配---转换器","NBA3N206S","NBA3N206SDG","http://www.onsemi.cn/PowerSolutions/product.do?id=NBA3N206SDG","http://www.onsemi.com/pub/Collateral/NBA3N206S-D.PDF","M-LVDS Driver Receiver Automotive Grade 3.3V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","M-LVDS Driver Receiver Automotive Grade 3.3V","1","LVCMOS
M-LVDS","LVCMOS
M-LVDS","3.3","100MHz","1.5
4","1.6
2.3","SOIC-8"
"on","时钟及数据分配---转换器","NBA3N206S","NBA3N206SDR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=NBA3N206SDR2G","http://www.onsemi.com/pub/Collateral/NBA3N206S-D.PDF","M-LVDS Driver Receiver Automotive Grade 3.3V","AEC Qualified
PPAP Capable
Pb-free
Halide free","Active","M-LVDS Driver Receiver Automotive Grade 3.3V","1","LVCMOS
M-LVDS","LVCMOS
M-LVDS","3.3","100MHz","1.5
4","1.6
2.3","SOIC-8"
