"brand","Series","Series-2","PartNo","DetailLink","dataSheet","Descrption","Compliance","Status","Description","Type","Bits","Input Level","Output Level","VCC Typ (V)","tJitter Typ (ps)","tpd Typ (ns)","tsu Min (ns)","th Min (ns)","trec Typ (ns)","tR & tF Max (ps)","fToggle Typ (MHz)","Package Type"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP451","MC100EP451MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP451MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP451-D.PDF","3.3 V / 5.0 V ECL 6-Bit Differential Register with Master Reset","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL 6-Bit Differential Register with Master Reset","Register","6","CML
ECL","ECL","3.3
5","0.2","0.45","0.08","0.08","0.15","250","3000","LQFP-32
QFN-32"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP52","MC100EP52DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP52DG","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","0.2","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP52","MC100EP52DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP52DR2G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","0.2","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP52","MC100EP52DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP52DTG","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","0.2","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP52","MC100EP52DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP52DTR2G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","0.2","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100EP52","MC100EP52MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100EP52MNR4G","http://www.onsemi.com/pub/Collateral/MC10EP52-D.PDF","ECL Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock/Data D Flip-Flop","D-Type","1","CML
ECL","ECL","3.3
5","0.2","0.33","0.05","0",,"170","4000","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL30","MC100LVEL30DWG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL30DWG","http://www.onsemi.com/pub/Collateral/MC100LVEL30-D.PDF","ECL Triple D-Type Flip-Flop with Set and Reset","Pb-free
Halide free","Active","ECL Triple D-Type Flip-Flop with Set and Reset","D-Type","3","ECL","ECL","3.3","1","0.695","0.15","0.2","0.2","550","1200","SOIC-20W"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL30","MC100LVEL30DWR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL30DWR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL30-D.PDF","ECL Triple D-Type Flip-Flop with Set and Reset","Pb-free
Halide free","Active","ECL Triple D-Type Flip-Flop with Set and Reset","D-Type","3","ECL","ECL","3.3","1","0.695","0.15","0.2","0.2","550","1200","SOIC-20W"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL51","MC100LVEL51DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL51DG","http://www.onsemi.com/pub/Collateral/MC100LVEL51-D.PDF","ECL Differential Clock D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock D Flip-Flop","D-Type","1","ECL","ECL","3.3","1","0.475","0.15","0.2","0.2","320","2800","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL51","MC100LVEL51DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL51DR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL51-D.PDF","ECL Differential Clock D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock D Flip-Flop","D-Type","1","ECL","ECL","3.3","1","0.475","0.15","0.2","0.2","320","2800","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL51","MC100LVEL51DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL51DTG","http://www.onsemi.com/pub/Collateral/MC100LVEL51-D.PDF","ECL Differential Clock D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock D Flip-Flop","D-Type","1","ECL","ECL","3.3","1","0.475","0.15","0.2","0.2","320","2800","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL51","MC100LVEL51DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL51DTR2G","http://www.onsemi.com/pub/Collateral/MC100LVEL51-D.PDF","ECL Differential Clock D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock D Flip-Flop","D-Type","1","ECL","ECL","3.3","1","0.475","0.15","0.2","0.2","320","2800","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC100LVEL51","MC100LVEL51MNR4G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC100LVEL51MNR4G","http://www.onsemi.com/pub/Collateral/MC100LVEL51-D.PDF","ECL Differential Clock D Flip-Flop","Pb-free
Halide free","Active","ECL Differential Clock D Flip-Flop","D-Type","1","ECL","ECL","3.3","1","0.475","0.15","0.2","0.2","320","2800","DFN-8
SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E141","MC10E141FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E141FNG","http://www.onsemi.com/pub/Collateral/MC10E141-D.PDF","ECL 8-Bit Shift Register","Pb-free
Halide free","Active","ECL 8-Bit Shift Register","Shift Register","8","ECL","ECL","5","1","0.75","0.175","0.2","0.7","800","900","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E141","MC10E141FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E141FNR2G","http://www.onsemi.com/pub/Collateral/MC10E141-D.PDF","ECL 8-Bit Shift Register","Pb-free
Halide free","Active","ECL 8-Bit Shift Register","Shift Register","8","ECL","ECL","5","1","0.75","0.175","0.2","0.7","800","900","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E143","MC10E143FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E143FNR2G","http://www.onsemi.com/pub/Collateral/MC10E143-D.PDF","5.0 V ECL 9-Bit Hold Register","Pb-free
Halide free","Active","5.0 V ECL 9-Bit Hold Register","Register","9","ECL","ECL","5","1","0.8","0.05","0.3","0.7","800",,"PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E151","MC10E151FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E151FNG","http://www.onsemi.com/pub/Collateral/MC10E151-D.PDF","ECL 6-Bit D Register","Pb-free
Halide free","Active","ECL 6-Bit D Register","Register","6","ECL","ECL","5","1","0.65","0","0.35","0.55","700","1100","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E151","MC10E151FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E151FNR2G","http://www.onsemi.com/pub/Collateral/MC10E151-D.PDF","ECL 6-Bit D Register","Pb-free
Halide free","Active","ECL 6-Bit D Register","Register","6","ECL","ECL","5","1","0.65","0","0.35","0.55","700","1100","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E431","MC10E431FNG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E431FNG","http://www.onsemi.com/pub/Collateral/MC10E431-D.PDF","ECL 3-Bit Differential Flip-Flop","Pb-free
Halide free","Active","ECL 3-Bit Differential Flip-Flop","D-Type","3","CML
ECL","ECL","5","1","0.7","0.2","0.2","0.4","700","1100","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E431","MC10E431FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E431FNR2G","http://www.onsemi.com/pub/Collateral/MC10E431-D.PDF","ECL 3-Bit Differential Flip-Flop","Pb-free
Halide free","Active","ECL 3-Bit Differential Flip-Flop","D-Type","3","CML
ECL","ECL","5","1","0.7","0.2","0.2","0.4","700","1100","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10E452","MC10E452FNR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10E452FNR2G","http://www.onsemi.com/pub/Collateral/MC10E452-D.PDF","5.0 V ECL 5-Bit Differential Register","Pb-free
Halide free","Active","5.0 V ECL 5-Bit Differential Register","Register","5","ECL","ECL","5","1","0.6","0.15","0.2","0.45","725","1100","PLCC-28"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL35","MC10EL35DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL35DG","http://www.onsemi.com/pub/Collateral/MC10EL35-D.PDF","5.0 V ECL JK Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL JK Flip-Flop","JK-Type","1","ECL","ECL","5","1","0.525","0.15","0.25","0.2","350","2200","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL35","MC10EL35DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL35DR2G","http://www.onsemi.com/pub/Collateral/MC10EL35-D.PDF","5.0 V ECL JK Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL JK Flip-Flop","JK-Type","1","ECL","ECL","5","1","0.525","0.15","0.25","0.2","350","2200","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL35","MC10EL35DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL35DTG","http://www.onsemi.com/pub/Collateral/MC10EL35-D.PDF","5.0 V ECL JK Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL JK Flip-Flop","JK-Type","1","ECL","ECL","5","1","0.525","0.15","0.25","0.2","350","2200","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL35","MC10EL35DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL35DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL35-D.PDF","5.0 V ECL JK Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL JK Flip-Flop","JK-Type","1","ECL","ECL","5","1","0.525","0.15","0.25","0.2","350","2200","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL52","MC10EL52DG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL52DG","http://www.onsemi.com/pub/Collateral/MC10EL52-D.PDF","5.0 V ECL  Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL  Differential Clock/Data D Flip-Flop","D-Type","1","ECL","ECL","5","1","0.365","0.125","0.15",,"350","2800","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL52","MC10EL52DR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL52DR2G","http://www.onsemi.com/pub/Collateral/MC10EL52-D.PDF","5.0 V ECL  Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL  Differential Clock/Data D Flip-Flop","D-Type","1","ECL","ECL","5","1","0.365","0.125","0.15",,"350","2800","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL52","MC10EL52DTG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL52DTG","http://www.onsemi.com/pub/Collateral/MC10EL52-D.PDF","5.0 V ECL  Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL  Differential Clock/Data D Flip-Flop","D-Type","1","ECL","ECL","5","1","0.365","0.125","0.15",,"350","2800","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EL52","MC10EL52DTR2G","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EL52DTR2G","http://www.onsemi.com/pub/Collateral/MC10EL52-D.PDF","5.0 V ECL  Differential Clock/Data D Flip-Flop","Pb-free
Halide free","Active","5.0 V ECL  Differential Clock/Data D Flip-Flop","D-Type","1","ECL","ECL","5","1","0.365","0.125","0.15",,"350","2800","SOIC-8
TSSOP-8"
"on","时钟及数据分配---触发器、锁存器及寄存器","MC10EP142","MC10EP142FAG","http://www.onsemi.cn/PowerSolutions/product.do?id=MC10EP142FAG","http://www.onsemi.com/pub/Collateral/MC10EP142-D.PDF","3.3 V / 5.0 V ECL 9-Bit Shift Register","Pb-free
Halide free","Active","3.3 V / 5.0 V ECL 9-Bit Shift Register","Shift Register","9","CML
ECL","ECL","3.3
5","1","0.675","0.05","0.1","0.8","250","2800","LQFP-32
QFN-32"
