"brand","Series","Series-2","PartNo","DataSheet","DetailLink","Description","No. of  Tx","No. of  Rx","Data Rate  (kbps)","VCC (V)","Typ. ICC  (mA)","ESD  (kV)","Term","Supported  Protocols"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP339","SP339EER1-L/TR","http://www.exar.com/common/content/document.ashx?id=20795&languageid=1033&type=datasheet&part=sp339","http://www.exar.com/connectivity/transceiver/multiprotocol/sp339/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","3/1","5/1","256/1M/20M","3.3 or 5","2","15","Complete","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336ECT-L","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336ECT-L/TR","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336ECY-L","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336ECY-L/TR","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336EET-L","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336EET-L/TR","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336EEY-0A-EB","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336EEY-L","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP336","SP336EEY-L/TR","http://www.exar.com/common/content/document.ashx?id=20073&languageid=1033&type=datasheet&part=sp336","http://www.exar.com/connectivity/transceiver/multiprotocol/sp336/","Programmable RS-232/RS-485/RS-422 Serial Transceiver","4","4","250/100/10000","3.3 or 5","2","15","n/a","RS-232, V.28, RS-485, RS-422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP330","SP330EEY-L","http://www.exar.com/common/content/document.ashx?id=21451&languageid=1033&type=datasheet&part=sp330","http://www.exar.com/connectivity/transceiver/multiprotocol/sp330/","RS-232/RS-485/RS-422 Transceiver with 1.65V-5.5V Interface","2/1","2/1","250/1M/20M","3.0V to 5.5V","1","15","-","RS-232, RS-485, RS-422, V.28"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP330","SP330EEY-L/TR","http://www.exar.com/common/content/document.ashx?id=21451&languageid=1033&type=datasheet&part=sp330","http://www.exar.com/connectivity/transceiver/multiprotocol/sp330/","RS-232/RS-485/RS-422 Transceiver with 1.65V-5.5V Interface","2/1","2/1","250/1M/20M","3.0V to 5.5V","1","15","-","RS-232, RS-485, RS-422, V.28"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP335","SP335ECR1-L","http://www.exar.com/common/content/document.ashx?id=21309&languageid=1033&type=datasheet&part=sp335","http://www.exar.com/connectivity/transceiver/multiprotocol/sp335/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","2/1","2/1","250/1M/20M","3.0 to 5.5","2","15","Internal","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP335","SP335ECR1-L/TR","http://www.exar.com/common/content/document.ashx?id=21309&languageid=1033&type=datasheet&part=sp335","http://www.exar.com/connectivity/transceiver/multiprotocol/sp335/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","2/1","2/1","250/1M/20M","3.0 to 5.5","2","15","Internal","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP335","SP335EER1-L","http://www.exar.com/common/content/document.ashx?id=21309&languageid=1033&type=datasheet&part=sp335","http://www.exar.com/connectivity/transceiver/multiprotocol/sp335/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","2/1","2/1","250/1M/20M","3.0 to 5.5","2","15","Internal","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP335","SP335EER1-L/TR","http://www.exar.com/common/content/document.ashx?id=21309&languageid=1033&type=datasheet&part=sp335","http://www.exar.com/connectivity/transceiver/multiprotocol/sp335/","RS-232/RS-485/RS-422 Transceiver with Internal Termination","2/1","2/1","250/1M/20M","3.0 to 5.5","2","15","Internal","RS-232, RS-485, RS-422"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331CT","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331CT/TR","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331CT-L","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331CT-L/TR","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331ET","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331ET/TR","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331ET-L","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP331","SP331ET-L/TR","http://www.exar.com/common/content/document.ashx?id=724&languageid=1033&type=datasheet&part=sp331","http://www.exar.com/connectivity/transceiver/multiprotocol/sp331/","Programmable RS-232/RS-485 Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332CT","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332CT/TR","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332CT-L","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332CT-L/TR","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332ET","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332ET/TR","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332ET-L","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP332","SP332ET-L/TR","http://www.exar.com/common/content/document.ashx?id=672&languageid=1033&type=datasheet&part=sp332","http://www.exar.com/connectivity/transceiver/multiprotocol/sp332/","RS-232/RS-485 Multi-Mode Serial Transceiver","4","4","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CA","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CA/TR","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CA-L","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CT","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CT/TR","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CT-L","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334CT-L/TR","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334ET","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334ET/TR","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334ET-L","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
"exar","Connectivity---Serial Transceivers-Multiprotocol-Multiprotocol","SP334","SP334ET-L/TR","http://www.exar.com/common/content/document.ashx?id=637&languageid=1033&type=datasheet&part=sp334","http://www.exar.com/connectivity/transceiver/multiprotocol/sp334/","Programmable RS-232/RS-485 Transceiver","3","5","10000","5","-","2","-","RS232, V.28, RS485, RS422, V.24"
