brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Regulated Outputs (#)","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Min) (V)","VOUT (Max) (V)","Isw Limit(Typ)(A)","MaxDutyCycle","IOUT(max)(A)","Iq (Typ)(mA)","VFB(Typ)(V)","SwitchingFreq(Max)(kHz)","Common Features","Special Features","Control Mode","Package","Grade"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632-6","http://www.monolithicpower.com/Products/Product-Detail?ProductID=323","http://new.zlgmcu.com/mps_datasheet/MPQ8632-6.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=781","MPQ8632-6","Active","","1.0","6A, 2.5-18V, DCM, Non-latch OVP, COT Synchronous Step-down Converter","2.5","18.0","0.611","13.0","7.5","","6.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2459","http://www.monolithicpower.com/Products/Product-Detail?ProductID=124","http://new.zlgmcu.com/mps_datasheet/MP2459.pdf","http://www.monolithicpower.com/Portals/0/Documents/Products/Documents/datasheet/MP2459_r1.01.pdf","MP2459","Active","","1.0","0.5A, 55V, 480kHz Step-Down Converter in a TSOT23-6","4.5","55.0","0.81","52.0","1.25","0.935","0.5","0.73","0.812","480.0","","","","TSOT23-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632-12","http://www.monolithicpower.com/Products/Product-Detail?ProductID=327","http://new.zlgmcu.com/mps_datasheet/MPQ8632-12.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3395","MPQ8632-12","Active","","1.0","12A, 2.5-18V, DCM, Non-latch OVP, COT Synchronous Step-down Converter","2.5","18.0","0.611","13.0","15.0","","12.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632-8","http://www.monolithicpower.com/Products/Product-Detail?ProductID=324","http://new.zlgmcu.com/mps_datasheet/MPQ8632-8.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=785","MPQ8632-8","Active","","1.0","8A, 2.5-18V, DCM, Non-latch OVP, COT Synchronous Step-down Converter","2.5","18.0","0.611","13.0","10.0","","8.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632-4","http://www.monolithicpower.com/Products/Product-Detail?ProductID=322","http://new.zlgmcu.com/mps_datasheet/MPQ8632-4.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=777","MPQ8632-4","Active","","1.0","4A, 2.5-18V, DCM, Non-latch OVP, COT Synchronous Step-down Converter","2.5","18.0","0.611","13.0","5.0","","4.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB675","http://www.monolithicpower.com/Products/Product-Detail?ProductID=353","http://new.zlgmcu.com/mps_datasheet/NB675.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=829","NB675","Active","","1.0","Wide Vin 5-24V, 10A, COT Synchronous Step-down Converter with +/-1.5A LDO and Buffed Reference","5.0","24.0","0.604","5.5","11.0","","10.0","0.4","0.604","500.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop","COT","QFN3x4-21","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB670","http://www.monolithicpower.com/Products/Product-Detail?ProductID=350","http://new.zlgmcu.com/mps_datasheet/NB670.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=820","NB670","Active","","1.0","Wide Vin 5-24V, 6A, 3.3V Fixed Output COT Synchronous Step-down Converter with LDO","5.0","24.0","3.3","3.3","9.0","","6.0","0.22","0.6","500.0","Power Good,Light Load Efficiency,Sync Rectification","Fixed Output,Output Discharge/Soft Stop","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB669","http://www.monolithicpower.com/Products/Product-Detail?ProductID=349","http://new.zlgmcu.com/mps_datasheet/NB669.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=818","NB669","Active","","1.0","Wide Vin 6.5-24V, 6A, 5V Fixed Output COT Synchronous Step-down Converter with LDO","6.5","24.0","5.0","5.0","9.0","","6.0","0.22","0.6","500.0","Power Good,Light Load Efficiency,Sync Rectification","Fixed Output,Output Discharge/Soft Stop ","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1469","http://www.monolithicpower.com/Products/Product-Detail?ProductID=174","http://new.zlgmcu.com/mps_datasheet/MP1469.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=416","MP1469","Active","","1.0","4.7V to 16V, 500kHz, 1.5A Sync Buck with TSOT23-6 Package","4.7","16.0","0.8","13.0","3.0","0.92","1.5","0.83","0.8","500.0","Light Load Efficiency,Sync Rectification","","Current Mode","TSOT23-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2233","http://www.monolithicpower.com/Products/Product-Detail?ProductID=229","http://new.zlgmcu.com/mps_datasheet/MP2233.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=562","MP2233","Active","","1.0","High Efficiency, 3A, 16V, higher Fsw 1.4MHz, with SS, Synchronous Step-Down Converter","4.5","16.0","0.8","14.0","4.6","0.89","3.0","0.6","0.807","1400.0","External Soft Start,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1498","http://www.monolithicpower.com/Products/Product-Detail?ProductID=188","http://new.zlgmcu.com/mps_datasheet/MP1498.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=449","MP1498","Active","","1.0","High Efficiency, 2A, 16V, higher Fsw 1.4MHz, with SS, Synchronous Step-Down Converter","4.5","16.0","0.8","13.0","3.4","0.89","2.0","0.8","0.807","1400.0","External Soft Start,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1475","http://www.monolithicpower.com/Products/Product-Detail?ProductID=180","http://new.zlgmcu.com/mps_datasheet/MP1475.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=426","MP1475","Active","","1.0","High Efficiency, 3A, 16V, 500kHz Sync Step-Down Converter with PG in TSOT23-8 Package","4.5","16.0","0.8","13.0","5.0","0.95","3.0","0.6","0.807","500.0","Power Good,Light Load Efficiency,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1474","http://www.monolithicpower.com/Products/Product-Detail?ProductID=179","http://new.zlgmcu.com/mps_datasheet/MP1474.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=424","MP1474","Active","","1.0","High Efficiency, 2A, 16V, 500kHz Sync Step-Down Converter with PG in TSOT23-8 Package","4.5","16.0","0.8","13.0","3.0","0.95","2.0","0.6","0.807","500.0","Power Good,Light Load Efficiency,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2162","http://www.monolithicpower.com/Products/Product-Detail?ProductID=220","http://new.zlgmcu.com/mps_datasheet/MP2162.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=537","MP2162","Active","","1.0","High Efficiency,2A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with PG in Ultra-small 2x1.5mm QFN ","2.5","6.0","0.6","","3.2","1.0","2.0","0.017","0.6","1500.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle","COT","QFN2.0x1.5-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2161","http://www.monolithicpower.com/Products/Product-Detail?ProductID=219","http://new.zlgmcu.com/mps_datasheet/MP2161.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=534","MP2161","Active","","1.0","High Efficiency,2A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with PG in TSOT23-8","2.5","6.0","0.6","","3.2","1.0","2.0","0.017","0.6","1500.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2159","http://www.monolithicpower.com/Products/Product-Detail?ProductID=217","http://new.zlgmcu.com/mps_datasheet/MP2159.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=530","MP2159","Active","","1.0","High Efficiency,1A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with PG in TSOT23-8","2.5","6.0","0.6","","2.0","1.0","1.0","0.017","0.6","1500.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2158","http://www.monolithicpower.com/Products/Product-Detail?ProductID=216","http://new.zlgmcu.com/mps_datasheet/MP2158.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=527","MP2158","Active","","1.0","High Efficiency,1A, 6V, 1.5MHz,17uA Iq, COT Synchronous Step Down Converter with PG in Ultra-small 2x1.5mm QFN ","2.5","6.0","0.6","","2.0","1.0","1.0","0.017","0.6","1500.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle","COT","QFN2.0x1.5-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2130","http://www.monolithicpower.com/Products/Product-Detail?ProductID=211","http://new.zlgmcu.com/mps_datasheet/MP2130.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=512","MP2130","Active","","1.0","6V, 3.5A, 1.2MHz, COT Synchronous Step-down Converter with PG in 2x2mm QFN","2.7","6.0","0.6","5.5","4.5","1.0","3.5","0.04","0.6","1200.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle,Output Discharge/Soft Stop","COT","QFN2x2-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8636-10","http://www.monolithicpower.com/Products/Product-Detail?ProductID=330","http://new.zlgmcu.com/mps_datasheet/MPQ8636-10.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1726","MPQ8636-10","Active","","1.0","10A, 4.5-18V,CCM, Latch-off OVP, COT Synchronous Step-down Converter","4.5","18.0","0.611","13.0","11.0","","10.0","0.86","0.611","1000.0","Power Good,External Soft Start,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MPQ8632-10","http://www.monolithicpower.com/Products/Product-Detail?ProductID=325","http://new.zlgmcu.com/mps_datasheet/MPQ8632-10.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=788","MPQ8632-10","Active","","1.0","10A, 2.5-18V, DCM, Latch-off OVP, COT Synchronous Step-down Converter","2.5","18.0","0.611","13.0","11.0","","10.0","0.86","0.611","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN3x4-13,QFN3x4-16","Industrial"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2497A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=136","http://new.zlgmcu.com/mps_datasheet/MP2497A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=341","MP2497A","Active","","1.0","3A, 50V, 100kHz fast switching Step-Down Converter with Programmable Output OVP Threshold","4.5","50.0","0.8","25.0","5.0","","3.0","1.2","0.8","100.0","","","Current Mode","SOIC8E","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2144","http://www.monolithicpower.com/Products/Product-Detail?ProductID=214","http://new.zlgmcu.com/mps_datasheet/MP2144.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=522","MP2144","Active","","1.0","2A, 5.5V, 1.2MHz, 40μA Iq, High Efficiency, COT Synchronous Step Down Converter with PG and Auto Discharge","2.5","5.5","0.6","5.0","3.8","1.0","2.0","0.04","0.6","1200.0","Power Good,Sync Rectification","100% Duty Cycle,Output Discharge/Soft Stop","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2143","http://www.monolithicpower.com/Products/Product-Detail?ProductID=213","http://new.zlgmcu.com/mps_datasheet/MP2143.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=519","MP2143","Active","","1.0","3A, 5.5V, 1.2MHz, 40μA Iq, High Efficiency, COT Synchronous Step-Down Converter with PG and Auto Discharge","2.5","5.5","0.6","5.0","4.8","1.0","3.0","0.04","0.6","1200.0","Power Good,Light Load Efficiency,Sync Rectification","100% Duty Cycle,Output Discharge/Soft Stop","COT","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1497","http://www.monolithicpower.com/Products/Product-Detail?ProductID=187","http://new.zlgmcu.com/mps_datasheet/MP1497.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=446","MP1497","Active","","1.0","High-Efficiency, 3A, 16V, 500kHz,with SS, Synchronous Step-Down Converter","4.5","16.0","0.8","13.0","5.0","0.95","3.0","0.7","0.807","500.0","External Soft Start,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1496","http://www.monolithicpower.com/Products/Product-Detail?ProductID=186","http://new.zlgmcu.com/mps_datasheet/MP1496.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=443","MP1496","Active","","1.0","High-Efficiency, 2A, 16V, 500kHz, with SS, Synchronous Step-Down Converter","4.5","16.0","0.8","13.0","3.0","0.95","2.0","0.7","0.807","500.0","External Soft Start,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1495","http://www.monolithicpower.com/Products/Product-Detail?ProductID=185","http://new.zlgmcu.com/mps_datasheet/MP1495.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=440","MP1495","Active","","1.0","High-Efficiency, 3A,16V,500KHz, with AAM (light load mode) Synchronous Step-Down Converter","4.5","16.0","0.8","13.0","5.0","0.95","3.0","0.5","0.8","500.0","Light Load Efficiency,Sync Rectification","External Frequency Sync","Current Mode","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP1494","http://www.monolithicpower.com/Products/Product-Detail?ProductID=184","http://new.zlgmcu.com/mps_datasheet/MP1494.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=437","MP1494","Active","","1.0","High-Efficiency, 2A,16V,500KHz, with AAM (light load mode) Synchronous Step-Down Converter","4.5","16.0","0.8","13.0","3.0","0.95","2.0","0.5","0.8","500.0","Light Load Efficiency,Sync Rectification","External Frequency Sync","","TSOT23-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP8765","http://www.monolithicpower.com/Products/Product-Detail?ProductID=675","http://new.zlgmcu.com/mps_datasheet/MP8765.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1772","MP8765","Active","24V, 6A, High Efficiency Synchronous Step-Down Converter
","1.0","24V, 6A High Efficiency Synchronous Step-down Converter with Hiccup OCP, PWM/PFM mode pin and output discharge
","5.0","24.0","0.604","5.5","6.6","","6.0","0.16","0.604","500.0","Power Good,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop","COT","QFN3x3-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP28248","http://www.monolithicpower.com/Products/Product-Detail?ProductID=250","http://new.zlgmcu.com/mps_datasheet/MP28248.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=619","MP28248","Active","","1.0","High Efficiency, Fast-Transient, 3A, 4.2V-20V Input Synchronous Step-down Converter with SS and Programmable Frequency in a QFN12 (2x3mm) Package","4.2","20.0","0.815","13.0","5.0","","3.0","0.44","0.815","","External Soft Start,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Programmable Frequency","COT","QFN2x3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP28258-A","http://www.monolithicpower.com/Products/Product-Detail?ProductID=259","http://new.zlgmcu.com/mps_datasheet/MP28258-A.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1736","MP28258-A","Active","","1.0","3A, 4.2V to 20V, COT, Sync Step-Down Converter with Hiccup OCP and Programmable Frequency in 2x3mm QFN","4.2","20.0","0.815","13.0","5.0","","3.0","0.36","0.815","","Power Good,Light Load Efficiency,Sync Rectification","Programmable Frequency","COT","QFN2X3-12","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP8715","http://www.monolithicpower.com/Products/Product-Detail?ProductID=295","http://new.zlgmcu.com/mps_datasheet/MP8715.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=730","MP8715","Active","","1.0","100% Duty Cycle Synchronous 4A, 21V, 500kHz Step-Down Converter","4.5","21.0","0.8","21.0","7.0","1.0","4.0","0.66","0.805","500.0","Power Good,External Soft Start,Sync Rectification","100% Duty Cycle,External Frequency Sync","Current Mode","SOIC8E,QFN3x4-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP8620","http://www.monolithicpower.com/Products/Product-Detail?ProductID=288","http://new.zlgmcu.com/mps_datasheet/MP8620.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=710","MP8620","Active","","1.0","16V, 25A Synchronous Step-down Converter with Phase Interleaving and External Soft Start","6.0","16.0","0.8","","","0.9","25.0","2.0","0.8","600.0","Power Good,External Soft Start,Sync Rectification"," External Frequency Sync,Phase Interleaving,Output Discharge/Soft Stop","Current Mode","QFN6X6-36","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP24943","http://www.monolithicpower.com/Products/Product-Detail?ProductID=132","http://new.zlgmcu.com/mps_datasheet/MP24943.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=329","MP24943","Active","","1.0","3A, 55V, 100kHz, Programmable Output OVP Threshold with External Soft Start","4.5","55.0","0.8","45.0","6.5","","3.0","0.65","0.8","100.0","External Soft Start","","Current Mode","SOIC8,SOIC8E","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2497","http://www.monolithicpower.com/Products/Product-Detail?ProductID=134","http://new.zlgmcu.com/mps_datasheet/MP2497.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=335","MP2497","Active","","1.0","3A, 50V, 100kHz Step-Down Converter with Programmable Output OVP Threshold","4.5","50.0","0.8","25.0","5.0","","3.0","1.2","0.8","100.0","","","Current Mode","SOIC8,SOIC8E","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP4566","http://www.monolithicpower.com/Products/Product-Detail?ProductID=283","http://new.zlgmcu.com/mps_datasheet/MP4566.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=698","MP4566","Active","","1.0","36V, 600mA, 1MHz Non-Sync Step-down Converter with High Light Load Efficiency","4.5","36.0","1.0","28.8","1.2","","0.6","0.035","1.0","1000.0","Light Load Efficiency","","Current Mode","QFN2x3-8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2115","http://www.monolithicpower.com/Products/Product-Detail?ProductID=201","http://new.zlgmcu.com/mps_datasheet/MP2115.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=486","MP2115","Active","","1.0","2A, 6V, 0.7-2MHz Step-Down Converter with Programmable Input Current Limit","2.8","6.0","0.6","6.0","3.5","1.0","2.0","0.8","0.607","1300.0","Power Good,Sync Rectification","100% Duty Cycle,Programmable I-limit,Programmable Frequency","Current Mode","QFN3x3-10","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","NB6381","http://www.monolithicpower.com/Products/Product-Detail?ProductID=343","http://new.zlgmcu.com/mps_datasheet/NB6381.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=811","NB6381","Active","","1.0","Wide Vin 4.5-28V, 8A, COT Synchronous Step-Down Converter with Internal Bias Supply","4.5","28.0","0.815","13.0","12.0","","8.0","0.5","0.815","1000.0","Power Good,External Soft Start,Light Load Efficiency,Sync Rectification","Output Discharge/Soft Stop,Programmable Frequency","COT","QFN3x4-20","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP28275","http://www.monolithicpower.com/Products/Product-Detail?ProductID=265","http://new.zlgmcu.com/mps_datasheet/MP28275.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=655","MP28275","Active","","1.0","7V, 5A, 1.1MHz Synchronous Step-down Converter","4.5","7.0","0.8","","7.0","0.9","5.0","1.0","0.805","1100.0","Power Good,Sync Rectification","External Frequency Sync","Current Mode","QFN3x4-14","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP28490","http://www.monolithicpower.com/Products/Product-Detail?ProductID=146","http://new.zlgmcu.com/mps_datasheet/MP28490.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=364","MP28490","Active","","1.0","5A, 30V, 420kHz Step-Down Converter with Power Good. Output Adjustable from 0.8V to 15V.","4.5","30.0","0.8","15.0","7.5","0.9","5.0","0.9","0.808","420.0","Power Good","External Frequency Sync","Current Mode","SOIC8E","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2562","http://www.monolithicpower.com/Products/Product-Detail?ProductID=244","http://new.zlgmcu.com/mps_datasheet/MP2562.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=601","MP2562","Active","","1.0","4.5V to 50V, 1A, Up to 4MHz Switching Frequency Step-Down Converter with Output Adj From 0.8V to 47V","4.5","50.0","0.8","47.0","1.8","","1.0","0.12","0.8","4000.0","","Programmable Frequency","Current Mode","QFN3x3-10,SOIC8","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP38876","http://www.monolithicpower.com/Products/Product-Detail?ProductID=276","http://new.zlgmcu.com/mps_datasheet/MP38876.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=683","MP38876","Active","","1.0","15A, 28V, High Frequency Step-Down Converter with Synchronous Gate Driver","4.5","28.0","0.8","12.0","21.0","0.9","15.0","1.0","0.81","400.0","Power Good,External Soft Start,Sync Rectification","External Frequency Sync","Current Mode","QFN3X4-20","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2357","http://www.monolithicpower.com/Products/Product-Detail?ProductID=109","http://new.zlgmcu.com/mps_datasheet/MP2357.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=263","MP2357","Active","","1.0","0.5A, 24V, 1.4MHz Step-Down Converter in a TSOT23-6","4.5","24.0","0.81","15.0","0.8","0.87","0.5","0.8","0.81","1400.0","","","Current Mode","TSOT23-6,SOT23-6","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2187","http://www.monolithicpower.com/Products/Product-Detail?ProductID=951","http://new.zlgmcu.com/mps_datasheet/MP2187.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4279","MP2187","New","","2.0","Dual 3A, 5.5V, 1.2MHz, COT Synchronous Step-Down Switcher with PG,  input voltage failure indicator and auto discharge","2.5","5.5","0.6","5.0","5.3","1.0","3.0","0.08","0.6","1200.0","Power Good, Light Load Efficiency, Sync Rectification","Fixed Output, 100% Duty Cycle, Output  Discharge/Soft Stop, Input Voltage Failure Indicator","COT","QFN2.2x2.6-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP2188","http://www.monolithicpower.com/Products/Product-Detail?ProductID=950","http://new.zlgmcu.com/mps_datasheet/MP2188.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4276","MP2188","New","","2.0","Dual 3A, 5.5V, 1.2MHz, COT Synchronous Step-Down Switcher with PG and auto discharge","2.5","5.5","0.8","5.0","5.3","1.0","3.0","0.08","0.6","1200.0","Power Good, Light Load Efficiency, Sync Rectification","Fixed Output, 100% Duty Cycle, Output  Discharge/Soft Stop","COT","QFN2.2x2.6-16","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP8763D","http://www.monolithicpower.com/Products/Product-Detail?ProductID=928","http://new.zlgmcu.com/mps_datasheet/MP8763D.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4120","MP8763D","New","","1.0","High-Efficiency, 12A, 18V, Synchronous Step-Down Converter","4.5","18.0","0.611","13.0","7.5","","12.0","0.86","0.61","1000.0","Power Good, External Soft Start, Light Load Efficiency, Sync Rectification","Output Discharge/Soft Stop Programmable Frequency","COT","QFN16 (3x4)","Catalog"
"mps","DC-DC Power Conversion---Switching Regulators---Step-down(Buck)---Converters","MP8760D","http://www.monolithicpower.com/Products/Product-Detail?ProductID=927","http://new.zlgmcu.com/mps_datasheet/MP8760D.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=4117","MP8760D","New","","1.0","High-Efficiency, 12A, 18V, Synchronous Step-Down Converter","4.5","18.0","0.611","13.0","7.5","","12.0","0.86","0.61","1000.0","Power Good, External Soft Start, Light Load Efficiency, Sync Rectification","Output Discharge/Soft Stop Programmable Frequency","COT","QFN16 (3x4)","Catalog"
